Figure 6 (bottom-left). Boxplot training energy. The results obtained regarding the energy on the training set.,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19
,,,,,,,,,,,,,,,,,,
GP,GA  3  Sum,GA  3  Vote,GA  5  Sum,GA  5  Vote,GA  7  Sum,GA  7  Vote,MGA  3  Sum,MGA  3  Vote ,MGA  5  Sum ,MGA  5  Vote ,MGA  7  Sum ,MGA  7  Vote ,SEC  3  Sum,SEC  3  Vote,SEC  5  Sum,SEC  5  Vote,SEC  7  Sum,SEC  7  Vote
51738.8151464626,53246.4548846428,53830.6186415478,53373.9990541497,52553.2058105385,53139.038045445,52456.6904958862,52967.4404964665,53039.1365350175,53103.7482934874,53250.0668846583,53120.9706940006,52607.4292100225,53361.8989040149,53830.6186415478,53656.1634283769,53169.7096646478,53346.5794980805,53399.0217211559
63524.0468395525,53246.4548846428,53830.6186415478,53337.9695179237,53114.1908865704,53246.7855324722,52729.3794734221,53155.9589714805,52402.6148181392,53002.2407761123,52542.5217620592,53246.3166954243,53023.0259090808,53246.4548846428,53830.6186415478,53740.109739265,52776.580530486,52677.0611521753,52857.4538276936
55598.7172204556,53246.4548846428,53830.6186415478,53247.4606156409,52553.2058105385,53246.7855324722,52675.5254021357,52675.3994029392,53628.213119155,52915.9032296063,52593.1686797782,53045.3623374583,52313.1882275296,53609.817025501,53830.6186415478,53017.0757689675,53830.6186415478,53915.129404521,53093.1724511514
53778.6763035475,53246.4548846428,53830.6186415478,53247.4606156409,52867.9973284502,53139.038045445,52869.9139341695,52939.8467214542,53085.178796143,52737.2242867972,52367.8186763699,52926.0061465424,52875.8930421619,53246.4548846428,53830.6186415478,53361.8989040149,53830.6186415478,53555.0416515518,52652.8262257973
56272.796409635,53246.4548846428,53830.6186415478,53373.9990541497,53482.3989021467,53246.7855324722,53060.2910314427,52639.2979621046,53418.0971328306,52688.262668572,51691.8398975036,52961.6775696335,52834.9134689783,53246.4548846428,53830.6186415478,53666.9495345141,53830.6186415478,53509.4258202164,52345.4639166389
60328.5197975046,53246.4548846428,53830.6186415478,53373.9990541497,52553.2058105385,53246.7855324722,52525.865089107,52928.2099043444,53258.2701011564,52938.473450084,52692.1249950983,52901.2508755865,52740.5485544005,53609.817025501,53830.6186415478,53313.4338927368,52965.8218300233,53144.2740663189,53238.9750016196
55198.3489463114,53246.4548846428,53830.6186415478,53373.9990541497,52553.2058105385,53246.7855324722,52456.6904958862,53288.8174379692,52845.9770582848,52920.8061241895,51865.1216352561,53116.9366520386,52728.578084117,53666.9495345141,53830.6186415478,53361.8989040149,53830.6186415478,53293.0205976306,53485.2090299894
54516.214267739,53246.4548846428,53830.6186415478,53373.9990541497,53482.3989021467,53229.3350871946,52254.5811281507,52989.5614621019,53710.1864628227,53089.5314835221,51933.0853451566,53580.6742265594,52250.2062347307,53246.4548846428,53830.6186415478,53246.4548846428,52361.4811759787,53526.4137955205,51902.1242160352
52017.9719422752,53246.4548846428,53830.6186415478,53373.9990541497,53482.3989021467,53139.038045445,52525.865089107,53310.1822923739,53210.8581989026,52798.529184659,52305.2473978468,53150.3652003275,52567.3334280739,53361.8989040149,53830.6186415478,53361.8989040149,52299.4586415888,53785.8262209421,53830.6186415478
54878.7348713657,53246.4548846428,53830.6186415478,53247.4606156409,53017.0677520017,53139.038045445,52908.8321411448,52989.7946271921,53243.0421162548,53192.3955764944,52033.1400843686,53180.0364220387,52508.5429218383,53246.4548846428,53830.6186415478,53347.9814905202,53154.1296841395,53344.9288264577,52976.2454502914
52697.6108532349,,,,,,,,,,,,,,,,,,
50882.525247071,,,,,,,,,,,,,,,,,,
55591.9013183504,,,,,,,,,,,,,,,,,,
56251.660778528,,,,,,,,,,,,,,,,,,
55548.6333080661,,,,,,,,,,,,,,,,,,
55111.6824662277,,,,,,,,,,,,,,,,,,
53045.505098912,,,,,,,,,,,,,,,,,,
52906.9121360818,,,,,,,,,,,,,,,,,,
64748.1628075475,,,,,,,,,,,,,,,,,,
53520.0966900941,,,,,,,,,,,,,,,,,,
52472.5537948826,,,,,,,,,,,,,,,,,,
54914.8410259773,,,,,,,,,,,,,,,,,,
57863.013778785,,,,,,,,,,,,,,,,,,
54534.2009507951,,,,,,,,,,,,,,,,,,
61676.1934217821,,,,,,,,,,,,,,,,,,
54184.7573381079,,,,,,,,,,,,,,,,,,
65891.2001683049,,,,,,,,,,,,,,,,,,
56930.5612094149,,,,,,,,,,,,,,,,,,
58467.9717793761,,,,,,,,,,,,,,,,,,
55530.655153104,,,,,,,,,,,,,,,,,,
