Figure 13 (top-right). Effectiveness of the local search operator.  Convergence in terms of the average percentage improvement achieved in the fitness of the initial ensemble after applying LSA.,Column_2,Column_3,Column_4,Column_5
,,,,
Time(min),S 5 5,V 5 5,S 20 20,V 20 20
42,0.0920567747204953,0.0871395569928648,0.209227951385148,0.100208268675217
43,0.0923790034394942,0.0870002556266274,0.206639788141226,0.0994910141300041
44,0.0925123331376686,0.0870927119613105,0.20490006942985,0.0984184404138647
45,0.0924777638493463,0.0873093484509352,0.202511404081366,0.0975308677733438
46,0.0925159915875175,0.0874170134106622,0.201250863850952,0.0970288982197511
47,0.0926772464595732,0.087517909301359,0.199650632577479,0.096332466157433
48,0.0927654129564657,0.087402171736133,0.197577638253239,0.0958678630765086
49,0.0927588317437177,0.0875491376538817,0.195977697373695,0.0953121830345432
50,0.0927891218379497,0.0877520521743984,0.194198545631183,0.0944711380139958
51,0.0928252840285416,0.0877601893041132,0.192892349910989,0.0938145376122378
52,0.0929107589787286,0.0879779656205296,0.191302707811728,0.0934656900469541
53,0.0928075791941609,0.088036959256807,0.189806856086948,0.0930555407987191
54,0.0928714718227406,0.0881223617756967,0.187935124622697,0.0925511865352171
55,0.0930722844950434,0.0879491063191576,0.187117667569885,0.0919510180138281
56,0.0929512757240678,0.0877903258232483,0.186097295160048,0.0914496411269154
57,0.0930841916436343,0.087627753025536,0.184524080424688,0.0907485569592014
58,0.0930665776695822,0.087510528780575,0.183465576521506,0.0901993896399288
59,0.0930875990018878,0.0875359140680103,0.182600924526171,0.089737596415153
60,0.0931405365829378,0.0875842219538401,0.181413819273118,0.0891827925022131
61,0.0931763376491198,0.0876735833870308,0.180298146951414,0.0886924052432322
62,0.0929845776330265,0.0877944856217891,0.179285349413493,0.088197625121068
63,0.0930212405940993,0.0877352861217417,0.178271439002532,0.087474797083822
64,0.0930193416270864,0.0877906374599492,0.177244681175344,0.086933219060451
65,0.0930026962603669,0.0875896751223919,0.176279130590451,0.0864540023030173
66,0.0928557163744831,0.0873892998153864,0.175591769846172,0.0859188367987844
67,0.093137475160662,0.0873635978593342,0.174285835234132,0.0854489464133926
68,0.0932861449267209,0.0873372131423312,0.173468934589583,0.084976229834782
69,0.0932681761580528,0.0874421731727184,0.172636635726003,0.0844815824556139
