"Figure 10 (right). Evolution of the structural complexity of the RPs generated by GP and MGA, measured in terms of average RP depth. Results are averaged over 30 independent runs.",Column_2,Column_3,Column_4,Column_5,Column_6
,,,,,
Time_min,GP,S 5 5,S 20 20,V 5 5,V 20 20
137,7.9,6.688888889,6.166666667,6.622222222,7.088888889
138,7.9,6.688888889,6.166666667,6.666666667,7.066666667
139,7.9,6.688888889,6.288888889,6.666666667,7.011111111
140,7.9,6.7,6.288888889,6.677777778,7.022222222
141,7.9,6.677777778,6.288888889,6.666666667,7.022222222
142,7.9,6.677777778,6.3,6.733333333,7.033333333
143,7.9,6.677777778,6.333333333,6.733333333,7.044444444
144,7.9,6.7,6.255555556,6.722222222,7.066666667
145,7.9,6.7,6.255555556,6.733333333,7.066666667
146,7.9,6.688888889,6.255555556,6.733333333,7.077777778
147,7.9,6.677777778,6.255555556,6.766666667,7.055555556
148,7.9,6.677777778,6.3,6.766666667,7.077777778
149,7.9,6.677777778,6.3,6.777777778,7.077777778
150,7.9,6.688888889,6.4,6.777777778,7.077777778
151,7.9,6.7,6.444444444,6.777777778,7.1
152,7.9,6.688888889,6.433333333,6.777777778,7.077777778
153,7.9,6.644444444,6.433333333,6.788888889,7.144444444
154,7.9,6.633333333,6.4,6.788888889,7.144444444
155,7.9,6.633333333,6.4,6.811111111,7.144444444
156,7.9,6.644444444,6.433333333,6.833333333,7.144444444
157,7.9,6.666666667,6.477777778,6.855555556,7.177777778
158,7.9,6.622222222,6.477777778,6.822222222,7.188888889
159,7.9,6.611111111,6.477777778,6.833333333,7.177777778
160,7.9,6.666666667,6.444444444,6.822222222,7.122222222
161,7.9,6.666666667,6.5,6.833333333,7.111111111
162,7.9,6.655555556,6.488888889,6.822222222,7.122222222
163,7.9,6.655555556,6.544444444,6.822222222,7.133333333
164,7.9,6.688888889,6.566666667,6.822222222,7.133333333
165,7.9,6.677777778,6.566666667,6.822222222,7.177777778
166,7.9,6.644444444,6.588888889,6.822222222,7.188888889
167,7.9,6.655555556,6.555555556,6.811111111,7.166666667
168,7.9,6.677777778,6.611111111,6.822222222,7.2
169,7.9,6.655555556,6.655555556,6.833333333,7.266666667
170,7.9,6.655555556,6.644444444,6.833333333,7.244444444
171,7.9,6.666666667,6.644444444,6.833333333,7.244444444
172,7.9,6.633333333,6.622222222,6.833333333,7.255555556
173,7.9,6.655555556,6.622222222,6.833333333,7.255555556
174,7.933333333,6.655555556,6.6,6.844444444,7.288888889
175,7.933333333,6.655555556,6.611111111,6.844444444,7.288888889
176,7.933333333,6.655555556,6.644444444,6.833333333,7.255555556
177,7.933333333,6.655555556,6.677777778,6.833333333,7.266666667
178,7.933333333,6.655555556,6.688888889,6.833333333,7.277777778
179,7.933333333,6.666666667,6.666666667,6.822222222,7.288888889
180,7.933333333,6.655555556,6.644444444,6.833333333,7.288888889
181,7.933333333,6.644444444,6.644444444,6.844444444,7.288888889
182,7.933333333,6.655555556,6.644444444,6.844444444,7.311111111
183,7.933333333,6.655555556,6.622222222,6.844444444,7.3
184,7.933333333,6.655555556,6.622222222,6.855555556,7.288888889
185,7.933333333,6.655555556,6.622222222,6.855555556,7.311111111
186,7.933333333,6.655555556,6.633333333,6.855555556,7.266666667
187,7.933333333,6.655555556,6.633333333,6.855555556,7.266666667
188,7.933333333,6.655555556,6.622222222,6.855555556,7.277777778
189,7.933333333,6.655555556,6.622222222,6.866666667,7.311111111
190,7.933333333,6.666666667,6.622222222,6.877777778,7.322222222
191,7.933333333,6.677777778,6.6,6.9,7.3
192,7.933333333,6.666666667,6.6,6.9,7.355555556
193,7.933333333,6.677777778,6.566666667,6.888888889,7.333333333
194,7.933333333,6.677777778,6.577777778,6.888888889,7.3
195,7.9,6.677777778,6.577777778,6.888888889,7.3
196,7.9,6.677777778,6.588888889,6.888888889,7.288888889
197,7.933333333,6.677777778,6.6,6.9,7.288888889
198,7.966666667,6.622222222,6.6,6.911111111,7.311111111
199,7.966666667,6.622222222,6.6,6.911111111,7.266666667
200,7.966666667,6.633333333,6.622222222,6.911111111,7.266666667
201,8,6.633333333,6.655555556,6.911111111,7.244444444
202,8,6.655555556,6.644444444,6.922222222,7.244444444
203,8,6.677777778,6.722222222,6.922222222,7.322222222
204,8,6.677777778,6.7,6.933333333,7.3
205,8,6.677777778,6.688888889,6.966666667,7.288888889
206,8,6.7,6.677777778,6.933333333,7.3
207,8,6.677777778,6.7,6.944444444,7.344444444
208,8,6.666666667,6.711111111,6.944444444,7.333333333
209,8,6.666666667,6.733333333,6.944444444,7.333333333
210,8,6.677777778,6.755555556,6.933333333,7.322222222
211,8,6.677777778,6.766666667,6.933333333,7.333333333
212,8,6.677777778,6.766666667,6.955555556,7.344444444
213,8,6.655555556,6.755555556,6.944444444,7.377777778
214,8,6.655555556,6.755555556,6.944444444,7.377777778
215,8,6.655555556,6.766666667,6.944444444,7.377777778
216,8,6.644444444,6.755555556,6.933333333,7.388888889
217,8,6.644444444,6.755555556,6.933333333,7.4
218,8,6.622222222,6.777777778,6.922222222,7.388888889
219,8,6.633333333,6.766666667,6.922222222,7.388888889
220,8,6.722222222,6.777777778,6.922222222,7.388888889
221,8,6.722222222,6.811111111,6.933333333,7.388888889
222,8,6.722222222,6.822222222,6.944444444,7.411111111
