Figure 13 (top-left). Effectiveness of the local search operator.  Convergence in terms of the average percentage of applications in which the local search operator successfully enhances the initial ensemble.,Column_2,Column_3,Column_4,Column_5
,,,,
Time(min),S 5 5,V 5 5,S 20 20,V 20 20
44,0.429406116902835,0.274367044805556,0.8294211121159,0.779423093533652
45,0.428375422139162,0.273334053077047,0.828386216929831,0.776362362598563
46,0.42710530091493,0.27250236612613,0.826508928012774,0.773341851769085
47,0.426198070579959,0.271853974524366,0.825945226005025,0.770471069903184
48,0.424787060073167,0.271082586218796,0.823294037912811,0.766718774190613
49,0.423337102962352,0.269937615344363,0.821569347058823,0.764301694814115
50,0.422660992834172,0.269257882452762,0.819152531043259,0.761933165384285
51,0.421813811807136,0.268679432674791,0.817248626051111,0.75970098400311
52,0.419861777099874,0.268741273922074,0.815084341369016,0.755976357455029
53,0.41856462467431,0.26811179393919,0.813970333364928,0.752921871356114
54,0.417221264984465,0.267915095292064,0.812280576389613,0.751319341099657
55,0.415875385792653,0.267960523825598,0.809426080414254,0.749358308205435
56,0.41482768804432,0.267191346899068,0.808594593584226,0.746968904926744
57,0.414038587117479,0.267311560289349,0.80683126211203,0.745164023464373
58,0.413086577541614,0.267030980353503,0.80545789825223,0.744214572856478
59,0.412510071486218,0.266891377148375,0.80377846068682,0.741950266979384
60,0.411510730017531,0.266567028120545,0.802669137433061,0.740481855468851
61,0.410215618534584,0.266408535853202,0.800853370243409,0.738273626301117
62,0.409047792855418,0.266201814543929,0.798966799905928,0.735559533148041
63,0.40856656779262,0.266154688665993,0.798467862097595,0.733418979823303
64,0.407524074993886,0.265579298530026,0.796521525668168,0.730843286295455
65,0.407020094759514,0.265202718773988,0.79561069583455,0.728190225138607
66,0.406391449048185,0.265158375964003,0.793728151515332,0.725868085638467
67,0.406079469408723,0.265096697407022,0.792503665525256,0.723747702008242
68,0.405192551246991,0.265096648850605,0.788965456089714,0.72190093858636
69,0.404162835773702,0.26451065281334,0.787864694191486,0.72002520137714
70,0.403724200792257,0.264539458358305,0.787288504726207,0.718335980634818
71,0.403131432094869,0.264438969865039,0.786063612743055,0.717211742410312
72,0.402573266940552,0.264276243399253,0.784646860102343,0.714745391706665
73,0.401311117704685,0.264078285872147,0.782999348034773,0.712838985877892
74,0.400325609727962,0.263882134713403,0.782420744646451,0.71057832908
75,0.399889018355679,0.263449626718062,0.781233534707089,0.709022586855427
76,0.398780135977164,0.263137898593635,0.779945002881057,0.707350124104157
77,0.3982124407464,0.262854725323653,0.779372222990932,0.706556133156979
78,0.397336482061971,0.262788216452079,0.777713393323543,0.705495700374502
79,0.396795689163572,0.262590765305048,0.775858904822954,0.705343627109457
80,0.396149334403351,0.262767280922633,0.77417539913822,0.704143486150851
81,0.395397743904562,0.262445390459042,0.772561496072413,0.703542422007082
82,0.39449686877578,0.262359849062429,0.771347808213538,0.702875580948096
83,0.393659305291346,0.262050993361341,0.769816729745954,0.70091017671889
84,0.393077531849557,0.26197987801398,0.769124836986504,0.699756421536673
85,0.392625186916461,0.261780095357224,0.767967422000394,0.698397102174308
86,0.392297236979835,0.261824202340934,0.766567884895908,0.697107019794834
87,0.391971222213722,0.261911276101573,0.765621105278217,0.695854560734026
88,0.391124192153433,0.261710650724903,0.764011702511153,0.694843135324157
89,0.390531532953693,0.26134672669301,0.763124029838644,0.693351693874052
90,0.389789002810725,0.261060951044132,0.761926351643038,0.692454087361086
91,0.389221214508362,0.261088479948324,0.760867106074643,0.691949640705523
92,0.388707766832659,0.260888811663933,0.759834998551994,0.69069937129464
93,0.388267641857524,0.260892277096121,0.758775552430524,0.689689012133213
94,0.387901099875867,0.260474027504676,0.757307827670865,0.688105246936613
95,0.387381023574598,0.26023130489763,0.755897601915347,0.687112005732245
96,0.386664299737347,0.260291428409114,0.755012618148327,0.686226625319571
97,0.386032441946975,0.260545412168565,0.754353386428413,0.685037834460834
98,0.385345541168184,0.260374364178103,0.753610829979136,0.68356846755308
99,0.384994797118667,0.260224910238918,0.75295114534356,0.68271948085464
100,0.384548341941202,0.260018025066892,0.751204154584066,0.681474129400265
101,0.383896027879065,0.260095590605188,0.750169807863291,0.680535657712466
102,0.38325137313426,0.259965665832947,0.749112886510427,0.679107064464762
103,0.382877030080572,0.25975557980613,0.747678805667769,0.67872569270774
104,0.38221355197615,0.259548617819378,0.746626562087711,0.678277419817843
105,0.381687124761684,0.259363203234506,0.745563989250527,0.678043815018182
106,0.38126802475004,0.259206317299146,0.74473673523313,0.677269641766302
107,0.380616627929474,0.259066262971335,0.743507881256455,0.676298164401783
108,0.379755620575748,0.258846903710868,0.742692984591917,0.675661492892571
109,0.379303718361361,0.258773182633134,0.741366758456791,0.674775001368074
110,0.378988859923009,0.258784384680456,0.740206887720471,0.673321675266733
111,0.378478014043197,0.258611232849023,0.739115733470097,0.672762177107282
112,0.37819124487279,0.258666493581132,0.737834296563383,0.672528434251386
113,0.377742617436619,0.258626947485257,0.736532447589481,0.671820475668103
114,0.377319115546691,0.25867032822957,0.735337553551225,0.671158717000817
115,0.377110485876091,0.258696109792832,0.734400179800099,0.670476151799196
116,0.377028507428697,0.258652572585838,0.733445085214965,0.669081801166709
117,0.37673843643531,0.258600752418936,0.732186705188098,0.66806447551427
118,0.376333501975144,0.258699600004961,0.730370554361679,0.666976072448527
119,0.376105216463814,0.258842314815473,0.729258364432686,0.666026082644595
120,0.376174463849798,0.258820024089414,0.728442672961297,0.665418884279011
121,0.375640831565058,0.258867909942339,0.726745334335588,0.664127172873067
122,0.375640064090212,0.258805173422354,0.725316314968223,0.66324227862397
123,0.375389063635943,0.258681485816269,0.72401963809199,0.66167412267081
124,0.375395735710067,0.258614008987722,0.72296742589929,0.660941041577708
125,0.375317214889433,0.258725693817872,0.721493526182755,0.660327459767659
126,0.375105119593303,0.258916615213164,0.720741173502772,0.65925691044231
127,0.375033768720449,0.258917994349569,0.719759523143323,0.657935739278655
128,0.374984027234312,0.259076864060262,0.718670867871453,0.65738515416116
129,0.375063571866407,0.259010810127032,0.717324120243524,0.656365670151043
130,0.374816427670206,0.259111820505748,0.716380673192797,0.655556697296436
131,0.37440169320195,0.259125769082412,0.715629885086644,0.654643744016795
132,0.374047137423848,0.259256996333799,0.71448104378701,0.653368475832804
133,0.374298177933455,0.259218947213843,0.713340625895931,0.652364694923142
134,0.37411954208047,0.259263626454672,0.71205450895606,0.651427491763284
135,0.374094738689667,0.25934184371963,0.711574938658003,0.651124192340877
136,0.373918423633401,0.259313231863262,0.711164494391676,0.650044843258442
137,0.373754188703776,0.259244205199859,0.710569419993777,0.649088022642164
138,0.373561447145578,0.259426569612904,0.709748891272789,0.648099541409711
139,0.373329768419658,0.259522743770247,0.709083805824315,0.647094807583126
140,0.373549209429196,0.259433111521754,0.707761285720054,0.646618888088418
141,0.373521986029956,0.259344335034475,0.70712451866866,0.645584033821466
142,0.373424199354554,0.25945779830908,0.706254368402239,0.64453952442047
143,0.373398579758027,0.259227890504349,0.705260963630049,0.643608788772535
144,0.37316412019474,0.259082301740368,0.704473146130557,0.643136977723196
145,0.373067439577278,0.259259353973795,0.703357108333428,0.642155668916207
146,0.372979378109552,0.259189692547543,0.70266408497945,0.640845401765574
147,0.372846697421946,0.259151838221127,0.701502989609023,0.640002171871753
148,0.372792461701201,0.259202025099442,0.701045745161429,0.639299907723042
149,0.37275696833389,0.259116563438409,0.700159110494906,0.638089123156874
150,0.372397794472965,0.259120653108481,0.699015429840108,0.637343020518766
151,0.372070259507231,0.259215448888311,0.697981904215211,0.635904775032917
152,0.372041437492831,0.259002846357482,0.696914123203216,0.634659037773511
153,0.371672247452419,0.259232155154575,0.695908482458206,0.633505147132973
154,0.371330521789504,0.2593383879173,0.693856787652704,0.632521241793431
155,0.371303938212713,0.259317774608171,0.693136545473014,0.631742016505467
156,0.371154954048136,0.259274245969313,0.692075778754735,0.631065754526537
157,0.37118699940934,0.259222674319765,0.691149604841666,0.629883566368315
158,0.371112875548372,0.259156755697213,0.69012879231108,0.629057295815375
159,0.371006905382374,0.259155976883165,0.689158713183181,0.627900847240564
160,0.370510681806961,0.259127421878163,0.688321225662697,0.626762676405855
161,0.370360053207995,0.259164138131152,0.687587526363951,0.625892316918907
162,0.370345608987162,0.259247029151105,0.686606161336402,0.624958357207861
163,0.370461459029352,0.259290067841394,0.685997764183659,0.624265288193525
164,0.370283599161957,0.259085405551623,0.685217198350495,0.623719936226743
165,0.370225604135791,0.259090956233268,0.684609411435378,0.622910562243329
