Figure 13 (bottom-left). Effectiveness of the local search operator.  Convergence in terms of the average percentage of individual RPs that are different from the initial ensemble.,Column_2,Column_3,Column_4,Column_5
,,,,
Time(min),S 5 5,V 5 5,S 20 20,V 20 20
44,0.483729788701762,0.442892069095043,0.684608316553948,0.632551035287125
45,0.48326621559638,0.44301441019537,0.681531711803648,0.630896388806208
46,0.483691120487934,0.443668364007842,0.679339816563939,0.630280690663686
47,0.484016196801271,0.444064881699771,0.677097578758321,0.628546270732146
48,0.484395353160803,0.443735758039309,0.675109709363225,0.627400944751545
49,0.48475308976315,0.444016661484705,0.673156074507719,0.626515067455423
50,0.485058798497245,0.443613702954379,0.670593818605013,0.624175696905617
51,0.485412933394952,0.443397192747783,0.668873931839491,0.622987671879551
52,0.485736670618576,0.443205476148856,0.666874047363005,0.621430459409652
53,0.485913411715059,0.443405737115683,0.665153544150939,0.620474868682493
54,0.486332105832317,0.443325299820158,0.662980246786514,0.61947909777617
55,0.486671046756228,0.443255152695473,0.661695977660712,0.618162837200244
56,0.486631159282596,0.443150399258537,0.660735140567859,0.617045768721495
57,0.487082182097591,0.442962873219112,0.659547997293848,0.615891799472601
58,0.487250784960677,0.442577440320821,0.657864141279018,0.615328849010286
59,0.4876706818469,0.442593734931533,0.655936178647111,0.614639797611137
60,0.487761213718711,0.442256513432193,0.654670217035969,0.614297383613121
61,0.487677984100762,0.442301180573435,0.653033692975481,0.613740999652413
62,0.487608276421796,0.441992021120689,0.651854580091825,0.612720418619158
63,0.487514446357567,0.442000410008542,0.650775504683585,0.612001010131878
64,0.48784310569106,0.442042112424174,0.649408690192987,0.611129199638311
65,0.487862363807681,0.441779696812434,0.648381181546371,0.610644333419616
66,0.488066564900133,0.441724300798215,0.647684708317577,0.609445882739473
67,0.488913103957323,0.441811092351287,0.646195817595662,0.608507687684641
68,0.489045704956449,0.441772404526403,0.645073445073381,0.607853082158547
69,0.489461683365571,0.4417525014556,0.644368930949807,0.607008574250329
70,0.489647956108763,0.441754850697597,0.643721224810603,0.606141102569115
71,0.489921934054201,0.441888396210176,0.642624280549693,0.604930325552002
72,0.490235752484424,0.441813606139411,0.641274480273965,0.604274672746672
73,0.490193632026278,0.441672789728756,0.640744519738127,0.603331564072716
74,0.490469759121892,0.441629657299892,0.63970727538136,0.602675376916022
75,0.490751434286784,0.441426859803543,0.638433082252906,0.601633230123357
76,0.491015905619875,0.441570312252711,0.637684129551914,0.600842527297396
77,0.491499678590822,0.441492523901488,0.63695813676668,0.599806371918726
78,0.491745155618975,0.441365171515624,0.636206558117119,0.598686826720686
79,0.492114856551575,0.441548261873027,0.63569233340257,0.597660929824554
80,0.492228537690164,0.441612791923995,0.634365055539415,0.596760630263913
81,0.492625502357697,0.441495316551056,0.63386864422011,0.59534371850099
82,0.492992114852583,0.441580546797771,0.633415514049715,0.594423371611386
83,0.493248144615618,0.441477420397715,0.632600724598764,0.593579004703416
84,0.493720358901883,0.44157495098608,0.632607738437669,0.592637666480448
85,0.494119858331561,0.441370150112534,0.631882462408077,0.592055295763713
86,0.494023661400197,0.441706250258474,0.631099432352552,0.591644343989311
87,0.494333980153161,0.441932962387122,0.630834203473631,0.591022483510005
88,0.49476094835223,0.442149414322426,0.630333014091581,0.590265500275222
89,0.494767300752733,0.442273947153669,0.629522537557957,0.58982530322814
90,0.494957706027069,0.442310745892164,0.628895110681755,0.589638879531177
91,0.495092298222761,0.442276360311328,0.627955792638937,0.588353881347287
92,0.495296689776615,0.442195564266916,0.627311361777987,0.588140274408414
93,0.495564848420651,0.44209581178747,0.627446746462898,0.587452064372898
94,0.495861425493901,0.442292216154636,0.626980813289835,0.586665491685887
95,0.496216435025872,0.442438207944436,0.625982061412357,0.586012567339656
96,0.496388793148194,0.442529739571339,0.625134929230676,0.585252431798281
97,0.496688053643084,0.442592798597431,0.624753198206968,0.58454838200555
98,0.497043811747061,0.442708050904922,0.624100356417288,0.583569534017841
99,0.497094409041806,0.442623592502805,0.623456161722442,0.583091535309268
100,0.497135094759971,0.443010995776587,0.622477371323355,0.582462301792127
101,0.497587964660821,0.443123997570804,0.622037561899203,0.581752579029624
102,0.497951617854097,0.443302237675836,0.621556579902195,0.580888258668018
103,0.498018138650402,0.443239936537373,0.620849663056224,0.580242176188425
104,0.498010285801188,0.443340636821751,0.620306410319237,0.579798346615954
105,0.498380346842983,0.443419229976752,0.620019613634868,0.579062785719964
106,0.49868785117552,0.443456270516909,0.61960408740293,0.578591506904342
107,0.498875964939054,0.443364620380171,0.619192205394051,0.577568664036969
108,0.498907390027045,0.443486448348047,0.619157928055933,0.576954320223386
109,0.499194895133608,0.443408476303184,0.618599365101436,0.576451318097963
110,0.499127926425642,0.443450381293424,0.617916377358972,0.575608771401986
111,0.499330808659124,0.443447980063854,0.617377399808357,0.575157776024
112,0.499581382392888,0.443531405404499,0.617166134632839,0.574550989647858
113,0.500056121673747,0.443698223868241,0.616545337506707,0.573890943464506
114,0.500262888808382,0.443709519336383,0.616101394910634,0.5731434619129
115,0.500228374828616,0.443576005152143,0.615661903236326,0.572449893459131
116,0.500335633854986,0.44359080766878,0.615376581228986,0.571787880202116
117,0.500346557183847,0.443642329980471,0.614982491024015,0.571393121770559
118,0.500537768122084,0.443498008845314,0.614638047011568,0.570743274850148
119,0.500918697089806,0.443541228194829,0.614746028761911,0.570127375515002
120,0.500902130158519,0.443691172496124,0.614175656363606,0.569739691687444
121,0.501135959277722,0.443609029083899,0.613739742947794,0.569230586498063
122,0.501332406461839,0.443579427994208,0.613475331737325,0.568613609327335
123,0.501358490493702,0.443599794797489,0.612995942336649,0.568246134913254
124,0.501447127459789,0.443583130001512,0.612456484371693,0.567564374107124
125,0.501845337810556,0.44345676155014,0.611995731936317,0.566817461760296
126,0.502139006772963,0.443625323051177,0.611266944151134,0.566197101142506
127,0.502363523156387,0.443537564620374,0.610944130799751,0.565788094968407
128,0.50245143473269,0.443692223516113,0.610599820308977,0.565524499293881
129,0.502561126432509,0.44386907310047,0.61026533207627,0.565054983509673
130,0.502563909492266,0.443875884643793,0.609859546489574,0.564641818102762
131,0.502880947315472,0.443993219194827,0.609695587427729,0.564030833836529
132,0.503017186143444,0.443951883744683,0.609400773785062,0.563600783269686
133,0.503057756894174,0.444052526268449,0.609145007461149,0.563037971240565
134,0.503254742728319,0.443991329440246,0.608799408372165,0.562369790573266
135,0.503678584746839,0.444004438333629,0.608713822726791,0.561974768269346
136,0.503731236026832,0.444128242814354,0.608438901795893,0.561527889524672
137,0.503829983109802,0.444155986376655,0.608322298462094,0.560982635333787
138,0.504127008728282,0.44419018307493,0.608234983809048,0.560704658319075
139,0.504143781257635,0.444151182930627,0.60768481537229,0.560289603373182
140,0.504254453876546,0.44414506738589,0.607396345074353,0.559746708723837
141,0.504361890343578,0.444144858758356,0.607410918285724,0.559247825292196
142,0.504525668729502,0.444086352357366,0.607124327137687,0.559122696514125
143,0.504918601453006,0.444209218261465,0.606947902739819,0.55866054003428
144,0.505049125175635,0.444168805426656,0.606930341556446,0.558489173345663
145,0.505246265580911,0.444217913649521,0.60686032480482,0.558090430752408
146,0.505492765173478,0.444347435346126,0.606575723801771,0.557673655893378
147,0.505561600479702,0.444415587838403,0.606455185875242,0.557214575067576
148,0.505816049431476,0.44448535493213,0.606161490686312,0.556745285226662
149,0.506097524435786,0.444526367965573,0.605953040869074,0.556582881400138
150,0.506274689842057,0.444573006911203,0.605858866882692,0.55594680157791
151,0.506376829796895,0.444656863628551,0.605748302849622,0.555565758648591
152,0.506563693627031,0.444675790738579,0.605600170216467,0.555120690223167
153,0.506593829222348,0.444669965538008,0.605533876115278,0.554689340041649
154,0.506509914365187,0.44488669130816,0.605540776170009,0.55460101844957
155,0.506573225428336,0.445047578741096,0.605302606232066,0.55421423858234
156,0.506614899463602,0.445068177682709,0.605199448820696,0.553948054242352
157,0.506775340882349,0.444994244135521,0.60533267084242,0.553450556721816
158,0.506976914166081,0.445035668954591,0.605335862793274,0.553063131173229
159,0.507000261501137,0.445110297250643,0.605387685734898,0.552803352311862
160,0.507134677614361,0.445144372132464,0.605308242607361,0.552310582356709
161,0.507217268249126,0.4452862649786,0.605207059109721,0.55199619340063
162,0.507233645239657,0.445443110538611,0.604932204970493,0.551653847293824
163,0.507346582376319,0.445611157958436,0.60494392531476,0.551295434435744
164,0.507367040821024,0.445732662573144,0.604989531078987,0.550929824263511
165,0.507412954410542,0.445886296078717,0.604799294152813,0.550786598034856
166,0.507514124340835,0.445950594073048,0.604813041932828,0.550450896598406
167,0.507567122083767,0.445957447284925,0.604892068389981,0.550173046419648
168,0.507640374575352,0.445846502488221,0.604844974425215,0.549916260564378
169,0.50762895280428,0.445970186217361,0.604957296868297,0.549655366743938
170,0.507564368200109,0.44602215702167,0.604964286803216,0.549323023858656
171,0.507549230161397,0.446094305108996,0.604916970966126,0.549077294313654
172,0.507617493004848,0.446290739504773,0.605037135490422,0.548963902259811
173,0.507657607818952,0.44641174320015,0.605189857562663,0.548834577289814
174,0.507716466816056,0.446458787201031,0.605171894492887,0.548511873170686
175,0.507814751981975,0.446653279993398,0.605195706525067,0.54835959767693
176,0.507688399198878,0.44677551394803,0.605205754996354,0.548082562013547
177,0.507747322427491,0.446917197093166,0.605199943040842,0.547759459290924
178,0.507846674960519,0.44693754419276,0.605081524779032,0.547511564658659
179,0.507938722885035,0.447037173327696,0.60528152498101,0.547343079086
180,0.508177178530796,0.446986205759495,0.605361076714105,0.54727458744885
181,0.508352506191749,0.447053089499868,0.605461600123625,0.547198182824589
182,0.508404437455655,0.447281314648018,0.605378714446136,0.546903443065571
183,0.508517848457999,0.447402740985021,0.605555838352514,0.546781750028733
184,0.508590829230803,0.447554916095586,0.605501179890259,0.546716576459388
185,0.508641913922401,0.447586022772878,0.605448176259812,0.546520563244999
186,0.50871856860566,0.447607135753642,0.605553700546836,0.546309938865249
187,0.508936838632625,0.447642214901936,0.605603588154021,0.546111614950948
188,0.508982898454366,0.44767099225144,0.605750154518661,0.545940787499565
189,0.509061942842959,0.447788316987652,0.605550989734675,0.545874470637741
190,0.509074338050696,0.447773648767043,0.605434215352645,0.545679397884279
191,0.50926112967126,0.447776798790063,0.60540977445087,0.545598214801983
192,0.50947303091745,0.447805639154821,0.605330482299746,0.545670914399983
193,0.509447316334407,0.447793499850017,0.605591209215891,0.545509338930731
194,0.509580307146279,0.447883132281929,0.605742465928681,0.545341667070095
195,0.509889245153585,0.447983027915696,0.605867668621318,0.545154587079919
196,0.510062103465008,0.448066947731938,0.605979454202047,0.544965077910092
197,0.510374867381197,0.448074788115231,0.605989564836622,0.544859317567688
198,0.510616931260494,0.448243369515468,0.606011609450711,0.544829908495631
199,0.510738817859687,0.448301892673522,0.606110508347619,0.54459703104215
200,0.510806116901781,0.44823923653685,0.606174622768882,0.544486144378795
201,0.510918973178958,0.448316762507959,0.606169926516814,0.544436272710278
202,0.511041560405511,0.448414971729699,0.606149250347297,0.544356607181704
203,0.511276257782397,0.448483129577591,0.606147554794522,0.544168698280578
204,0.511370874423568,0.448483527486159,0.606071082559476,0.544140456183102
205,0.511457916422761,0.448595964060999,0.606214064713264,0.543996599285198
