"Figure 10 (left). Evolution of the structural complexity of the RPs generated by GP and MGA, measured in terms of average RP size. Results are averaged over 30 independent runs.",Column_2,Column_3,Column_4,Column_5,Column_6
,,,,,
Time_min,GP,S 5 5,S 20 20,V 5 5,V 20 20
168,55.2,26.34444444,21.93333333,24.66666667,26.46666667
169,55.1,26.27777778,21.98888889,24.38888889,26.91111111
170,55.56666667,26.31111111,21.95555556,24.38888889,26.95555556
171,55.56666667,26.34444444,22,24.6,27.08888889
172,55.66666667,26.27777778,21.97777778,24.62222222,27.31111111
173,55.56666667,26.56666667,21.97777778,24.33333333,27.04444444
174,56.5,26.57777778,21.88888889,24.5,27.52222222
175,57.6,26.47777778,21.94444444,24.5,27.52222222
176,57.4,26.47777778,22.08888889,24.36666667,27.41111111
177,57.6,26.43333333,22.23333333,24.41111111,27.43333333
178,57.53333333,26.41111111,22.31111111,24.4,27.41111111
179,57.83333333,26.53333333,22.16666667,24.26666667,27.43333333
180,57.46666667,26.56666667,21.93333333,24.35555556,27.36666667
181,57.36666667,26.65555556,21.93333333,24.38888889,27.35555556
182,57.23333333,26.8,21.9,24.41111111,28.57777778
183,57.13333333,26.88888889,21.8,24.43333333,28.77777778
184,57.06666667,26.6,21.83333333,24.51111111,28.62222222
185,57.66666667,26.61111111,21.83333333,24.53333333,28.37777778
186,57.63333333,26.47777778,21.7,24.54444444,28.15555556
187,57.3,26.43333333,21.7,24.56666667,27.76666667
188,57.23333333,26.47777778,21.57777778,24.56666667,27.72222222
189,57.53333333,26.47777778,21.68888889,24.56666667,27.93333333
190,57.53333333,26.56666667,21.68888889,24.55555556,27.9
191,57.8,26.61111111,21.91111111,24.8,27.91111111
192,57.73333333,26.7,21.91111111,24.77777778,28.05555556
193,57.73333333,26.73333333,21.93333333,24.57777778,28.02222222
194,57.73333333,26.82222222,21.95555556,24.57777778,27.77777778
195,57.46666667,26.82222222,21.95555556,24.64444444,27.74444444
196,57.46666667,26.82222222,21.98888889,24.7,27.64444444
197,57.63333333,26.84444444,22.07777778,24.68888889,27.72222222
198,57.96666667,26.72222222,22.1,24.66666667,28.01111111
199,57.86666667,26.74444444,22.14444444,24.81111111,28.02222222
200,57.96666667,26.75555556,22.12222222,24.81111111,28.21111111
201,58.1,26.75555556,22.22222222,24.8,28.22222222
202,58.36666667,26.78888889,22.27777778,24.92222222,28.24444444
203,58.16666667,26.83333333,22.68888889,24.98888889,28.12222222
204,58.16666667,26.72222222,22.53333333,24.93333333,28.24444444
205,58.1,26.72222222,22.45555556,25.01111111,28.13333333
206,57.96666667,26.74444444,22.42222222,24.88888889,28.23333333
207,58.56666667,26.76666667,22.51111111,24.9,28.45555556
208,58.86666667,26.75555556,22.58888889,24.9,28.48888889
209,58.73333333,26.76666667,22.58888889,24.9,28.52222222
210,58.73333333,26.76666667,22.7,24.85555556,28.43333333
211,59.46666667,26.75555556,22.76666667,24.85555556,27.88888889
212,59.4,26.73333333,22.62222222,24.87777778,27.88888889
213,59.4,26.62222222,22.47777778,24.9,27.94444444
214,59.2,26.64444444,22.54444444,24.9,27.75555556
215,58.8,26.53333333,22.78888889,24.9,27.34444444
216,59.26666667,26.52222222,22.8,24.88888889,27.34444444
217,59.26666667,26.55555556,22.75555556,24.87777778,27.43333333
218,58.96666667,26.52222222,22.83333333,24.94444444,28.1
219,59.3,26.52222222,22.81111111,25.02222222,28.13333333
220,59.23333333,26.86666667,22.81111111,25.02222222,28.13333333
221,59.1,26.9,22.92222222,25.04444444,28
222,59.1,26.82222222,23.05555556,25.06666667,27.94444444
223,59.63333333,26.82222222,23.1,25.06666667,28.24444444
224,59.56666667,26.82222222,23.08888889,25.06666667,28.4
225,59.36666667,26.64444444,22.95555556,25.08888889,28.11111111
226,59.16666667,26.68888889,22.98888889,25.11111111,28.17777778
227,59.36666667,26.73333333,23.1,25.13333333,28.24444444
228,59.5,26.66666667,23.08888889,25.14444444,28.16666667
229,59.83333333,26.7,23.27777778,25.15555556,28.08888889
230,59.76666667,27.05555556,23.18888889,25.34444444,28.07777778
231,59.5,27.07777778,23.15555556,25.23333333,28.07777778
232,59.43333333,27.13333333,23.12222222,26.57777778,27.98888889
233,59.36666667,26.78888889,22.74444444,26.57777778,28.21111111
234,59.26666667,26.75555556,22.7,26.66666667,28.12222222
235,58.86666667,27.12222222,22.66666667,26.66666667,28.01111111
236,58.86666667,27.14444444,22.61111111,26.44444444,27.96666667
237,58.93333333,27.1,22.6,25.58888889,28.03333333
238,59.26666667,27.11111111,22.72222222,25.65555556,28.05555556
239,59.53333333,27.13333333,22.86666667,25.67777778,28.15555556
240,59.3,27.13333333,23.02222222,25.7,28.01111111
241,59.2,27.13333333,22.91111111,26.55555556,27.84444444
242,59.2,27.23333333,22.94444444,25.72222222,27.98888889
243,59.33333333,27.28888889,23.12222222,25.74444444,28.06666667
244,59.56666667,27.26666667,23.17777778,25.72222222,28.24444444
245,59.83333333,27.26666667,23.1,25.72222222,28.24444444
246,60.1,27.28888889,23.07777778,25.81111111,28.26666667
247,60.16666667,27.26666667,22.96666667,25.83333333,28.35555556
248,60.1,27.28888889,22.93333333,25.88888889,28.36666667
249,59.83333333,27.37777778,22.94444444,25.88888889,28.56666667
250,59.63333333,27.37777778,23.27777778,25.95555556,28.47777778
251,59.56666667,27.35555556,23.15555556,25.94444444,28.5
252,59.56666667,27.36666667,23.22222222,25.87777778,28.54444444
253,59.9,27.47777778,22.98888889,25.7,28.54444444
254,59.63333333,27.47777778,22.97777778,25.67777778,28.65555556
255,59.5,27.4,23.2,25.76666667,28.57777778
256,59.36666667,27.46666667,23.23333333,25.72222222,28.71111111
257,59.06666667,27.44444444,23.04444444,25.78888889,28.6
258,59.33333333,27.4,23.14444444,25.78888889,28.67777778
259,59.5,27.48888889,23.13333333,25.78888889,28.6
260,59.43333333,27.45555556,23.1,25.76666667,28.57777778
261,59.7,27.34444444,23.12222222,25.75555556,28.73333333
262,59.76666667,27.37777778,23.11111111,25.75555556,28.83333333
263,59.13333333,27.44444444,23.06666667,25.86666667,29.05555556
264,59.13333333,27.46666667,23.06666667,25.86666667,28.95555556
265,59.33333333,27.38888889,23.08888889,25.74444444,29
266,59.46666667,27.38888889,22.77777778,25.74444444,28.37777778
267,59.6,27.37777778,22.88888889,25.72222222,28.37777778
268,60.3,27.36666667,23.04444444,25.62222222,28.44444444
269,60.23333333,27.38888889,23.05555556,25.66666667,28.52222222
270,60.23333333,27.4,22.92222222,25.66666667,28.52222222
271,60.16666667,27.37777778,22.9,25.68888889,28.52222222
272,60.16666667,27.37777778,22.95555556,25.83333333,28.61111111
273,60.1,27.37777778,22.94444444,26.01111111,28.93333333
274,60.3,27.41111111,22.74444444,26.01111111,28.95555556
275,60.63333333,27.42222222,23,26.02222222,29.07777778
276,60.43333333,27.47777778,22.94444444,26.02222222,28.97777778
277,60.43333333,27.47777778,23.1,26.02222222,28.96666667
278,60.23333333,27.47777778,23.27777778,26.07777778,29
279,60,27.48888889,23.17777778,26.04444444,28.92222222
280,60.43333333,27.56666667,23.41111111,26.06666667,28.92222222
281,60.36666667,27.57777778,23.41111111,26.08888889,28.88888889
282,60.36666667,27.57777778,23.44444444,26.16666667,28.82222222
283,60.5,27.57777778,23.15555556,26.27777778,28.78888889
284,60.36666667,27.66666667,23.15555556,26.25555556,29.38888889
285,60.23333333,27.68888889,22.88888889,26.25555556,29.55555556
286,60.6,27.68888889,22.88888889,26.25555556,29.55555556
287,60.6,27.68888889,22.88888889,26.24444444,29.55555556
288,60.43333333,27.68888889,22.82222222,26.55555556,29.4
289,60.36666667,27.68888889,22.84444444,26.27777778,29.5
290,60.3,27.74444444,22.88888889,26.23333333,29.31111111
291,60.3,27.74444444,22.76666667,26.34444444,29.56666667
292,60.56666667,27.65555556,22.81111111,26.35555556,29.56666667
293,60.36666667,27.71111111,22.91111111,26.17777778,29.51111111
294,60.6,27.77777778,22.96666667,26.2,29.37777778
295,60.53333333,27.75555556,23.11111111,26.35555556,29.38888889
296,60.46666667,27.73333333,22.93333333,26.27777778,29.4
297,60.46666667,27.75555556,22.96666667,26.28888889,29.51111111
298,60.46666667,27.82222222,22.94444444,26.54444444,29.17777778
299,60.4,27.82222222,22.84444444,26.4,29.33333333
300,60.4,27.56666667,22.93333333,26.42222222,29.22222222
301,60.33333333,27.56666667,22.86666667,26.35555556,29.25555556
302,60.4,27.57777778,22.97777778,26.33333333,29.37777778
303,60.6,27.62222222,23.13333333,26.33333333,29.38888889
304,60.6,27.62222222,23.34444444,26.34444444,29.17777778
305,60.6,27.62222222,23.34444444,26.36666667,29.15555556
306,60.53333333,27.78888889,23.26666667,26.38888889,29.27777778
307,61.16666667,27.78888889,23.27777778,26.38888889,29.3
308,61.1,27.75555556,23.22222222,26.43333333,29.32222222
309,61.1,27.73333333,23.22222222,26.41111111,29.34444444
310,61.5,27.81111111,23.28888889,26.41111111,29.33333333
311,61.43333333,27.76666667,23.18888889,26.42222222,29.33333333
312,61.2,27.76666667,23.08888889,26.44444444,29.78888889
313,61.26666667,27.74444444,23.08888889,26.4,29.78888889
314,61.26666667,27.74444444,23.13333333,26.38888889,29.78888889
315,61.46666667,27.74444444,23.37777778,26.4,29.78888889
316,62.06666667,27.74444444,23.37777778,26.4,29.74444444
317,62.06666667,27.74444444,23.18888889,26.4,29.75555556
318,62.06666667,27.74444444,23.06666667,26.36666667,29.83333333
319,62.03333333,27.74444444,23.05555556,26.41111111,30.15555556
320,61.96666667,27.76666667,23.03333333,26.47777778,30.17777778
321,62.03333333,27.76666667,23,26.42222222,30.16666667
322,62.03333333,27.81111111,23,26.42222222,30.33333333
323,62.16666667,27.81111111,23.1,26.42222222,30.21111111
324,62.36666667,27.83333333,23.12222222,26.42222222,30.16666667
325,62.16666667,27.83333333,23.13333333,26.42222222,30.18888889
326,62.23333333,27.84444444,23.18888889,26.42222222,30.18888889
327,62.23333333,27.84444444,23.57777778,26.42222222,30.27777778
328,62.23333333,27.83333333,23.67777778,26.45555556,30.1
329,62.23333333,27.85555556,23.66666667,26.45555556,30.1
330,62.1,27.85555556,23.66666667,26.45555556,30.1
331,61.96666667,27.97777778,23.64444444,26.45555556,30.07777778
332,62.36666667,28.02222222,23.74444444,26.52222222,30.07777778
333,62.53333333,28.04444444,23.68888889,26.52222222,30.07777778
334,62.4,28,23.68888889,26.58888889,30.1
335,62.43333333,28.02222222,23.65555556,26.57777778,30.1
336,62.56666667,28.06666667,23.65555556,26.57777778,30.1
337,62.5,28.08888889,23.64444444,26.57777778,30.1
338,62.43333333,28.16666667,23.81111111,26.57777778,30.1
339,62.46666667,28.18888889,23.83333333,26.57777778,30.07777778
340,62.4,28.18888889,23.75555556,26.64444444,30.1
341,62.6,28.18888889,23.76666667,26.64444444,29.85555556
342,62.56666667,28.2,23.75555556,26.68888889,29.85555556
343,62.63333333,28.17777778,23.85555556,26.7,29.82222222
344,62.63333333,28.21111111,23.83333333,26.7,29.85555556
345,62.76666667,28.23333333,23.84444444,26.62222222,29.88888889
346,62.66666667,28.25555556,23.87777778,26.51111111,29.98888889
347,62.53333333,28.27777778,23.87777778,26.57777778,30.08888889
348,62.53333333,28.27777778,23.95555556,26.45555556,30.05555556
349,62.86666667,28.28888889,23.65555556,26.43333333,30.14444444
350,62.93333333,28.28888889,23.61111111,26.43333333,30.14444444
351,62.9,28.35555556,23.61111111,26.54444444,30.11111111
352,62.7,28.26666667,23.61111111,26.55555556,30.08888889
353,62.76666667,28.2,23.6,26.55555556,30
354,62.76666667,28.2,23.65555556,26.55555556,30
355,62.76666667,28.22222222,23.71111111,26.73333333,29.93333333
356,62.76666667,28.22222222,23.72222222,26.68888889,30
357,62.7,28.22222222,23.66666667,26.81111111,30.06666667
358,62.7,28.22222222,23.72222222,26.81111111,30.08888889
359,62.7,28.24444444,23.72222222,26.93333333,30.1
360,62.7,28.24444444,23.72222222,26.93333333,29.98888889
361,62.7,28.22222222,23.84444444,26.93333333,29.97777778
362,62.7,28.24444444,23.84444444,26.93333333,29.95555556
363,62.63333333,28.27777778,23.83333333,26.93333333,30.07777778
364,62.63333333,28.3,23.83333333,26.93333333,30.1
365,62.56666667,28.27777778,23.81111111,26.98888889,30.21111111
366,62.5,28.3,23.85555556,27.03333333,30.22222222
367,62.5,28.31111111,23.92222222,27.07777778,30.16666667
368,62.5,28.2,24.02222222,27.07777778,30.05555556
369,62.5,28.24444444,24.02222222,27.07777778,30.12222222
370,62.43333333,28.26666667,24.06666667,27.07777778,30.12222222
371,62.36666667,28.28888889,24.06666667,26.98888889,30.3
372,62.36666667,28.31111111,24.21111111,27.1,30.34444444
373,62.36666667,28.31111111,24.21111111,27.06666667,30.47777778
374,62.43333333,28.34444444,24.33333333,27.05555556,30.42222222
375,62.43333333,28.34444444,24.31111111,27.01111111,30.4
376,62.43333333,28.34444444,24.35555556,27.05555556,30.35555556
377,62.43333333,28.32222222,24.4,27.12222222,30.33333333
378,62.43333333,28.34444444,24.4,27.07777778,30.47777778
379,62.53333333,28.43333333,24.34444444,27.1,30.47777778
380,62.66666667,28.43333333,24.32222222,27.1,30.47777778
381,62.66666667,28.5,24.33333333,27,30.47777778
382,62.66666667,28.38888889,24.41111111,27.06666667,30.47777778
383,62.66666667,28.38888889,24.41111111,27.17777778,30.5
384,62.66666667,28.41111111,24.41111111,27.2,30.54444444
385,63.13333333,28.43333333,24.44444444,27.23333333,30.64444444
386,62.93333333,28.43333333,24.43333333,27.25555556,30.53333333
387,62.53333333,28.38888889,24.43333333,27.25555556,30.55555556
388,62.53333333,28.38888889,24.45555556,27.25555556,30.64444444
389,62.53333333,28.38888889,24.54444444,27.21111111,30.8
390,62.6,28.42222222,24.53333333,27.23333333,30.8
391,62.8,28.42222222,24.57777778,27.23333333,30.8
392,62.8,28.42222222,24.57777778,27.23333333,30.84444444
393,62.6,28.42222222,24.52222222,27.23333333,31.03333333
394,62.6,28.42222222,24.65555556,27.23333333,31.05555556
395,62.6,28.4,24.65555556,27.23333333,30.94444444
396,62.46666667,28.4,24.67777778,27.23333333,30.98888889
397,62.46666667,28.45555556,24.67777778,27.26666667,30.86666667
398,62.4,28.45555556,24.67777778,27.24444444,30.86666667
399,62.4,28.45555556,24.56666667,27.24444444,30.86666667
400,62.56666667,28.45555556,24.58888889,27.21111111,30.68888889
401,62.43333333,28.47777778,24.58888889,27.24444444,30.7
402,62.4,28.5,24.58888889,27.35555556,30.72222222
403,62.4,28.5,24.68888889,27.35555556,30.7
404,62.4,28.47777778,24.71111111,27.32222222,30.7
405,62.66666667,28.48888889,24.71111111,27.33333333,30.7
406,62.6,28.51111111,24.66666667,27.33333333,30.73333333
407,62.6,28.5,24.67777778,27.35555556,30.78888889
408,62.6,28.5,24.73333333,27.37777778,30.83333333
409,62.6,28.5,24.73333333,27.37777778,30.77777778
410,62.76666667,28.52222222,24.96666667,27.37777778,30.72222222
411,62.76666667,28.58888889,24.96666667,27.37777778,30.72222222
412,62.9,28.56666667,24.9,27.37777778,30.74444444
413,62.9,28.56666667,24.9,27.42222222,30.76666667
414,62.9,28.58888889,24.91111111,27.38888889,30.91111111
415,62.9,28.58888889,24.93333333,27.45555556,30.91111111
416,63.03333333,28.58888889,24.94444444,27.45555556,30.91111111
417,63.03333333,28.58888889,24.92222222,27.45555556,30.98888889
418,63.03333333,28.58888889,24.9,27.45555556,31.06666667
419,63.03333333,28.58888889,24.91111111,27.41111111,31.11111111
420,63.03333333,28.58888889,24.88888889,27.41111111,31.37777778
421,63.1,28.58888889,25.02222222,27.43333333,31.37777778
422,63.1,28.6,24.97777778,27.4,31.34444444
423,63.1,28.57777778,24.97777778,27.48888889,31.3
