"Figure 10 (left). Evolution of the structural complexity of the RPs generated by GP and MGA, measured in terms of average RP size. Results are averaged over 30 independent runs.",Column_2,Column_3,Column_4,Column_5,Column_6
,,,,,
Time_min,GP,S 5 5,S 20 20,V 5 5,V 20 20
898,68.73333333,31.95555556,29.02222222,30.97777778,36.23333333
899,68.73333333,31.95555556,29.02222222,30.97777778,36.23333333
900,68.73333333,31.95555556,29.03333333,31.01111111,36.08888889
901,68.73333333,31.95555556,29.03333333,31.01111111,36.08888889
902,68.73333333,31.95555556,29.05555556,31.01111111,36.08888889
903,68.73333333,31.94444444,29.05555556,31.01111111,36.08888889
904,68.73333333,31.96666667,29.12222222,31.01111111,36.08888889
905,68.8,31.98888889,29.15555556,31.01111111,36.05555556
906,68.8,31.98888889,29.16666667,31.05555556,36.05555556
907,68.8,31.97777778,29.18888889,31.05555556,36.13333333
908,68.8,31.97777778,29.16666667,31.05555556,36.2
909,68.8,32,29.16666667,31.05555556,36.24444444
910,68.86666667,32,29.16666667,31.07777778,36.24444444
911,68.86666667,32,29.3,31.07777778,36.24444444
912,68.86666667,32,29.3,31.07777778,36.24444444
913,68.86666667,32.02222222,29.26666667,31.07777778,36.24444444
914,68.86666667,32.01111111,29.26666667,31.07777778,36.2
915,69,32.06666667,29.28888889,31.07777778,36.22222222
916,69,32.06666667,29.35555556,31.07777778,36.22222222
917,69.26666667,32.12222222,29.35555556,31.07777778,36.34444444
918,69.26666667,32.12222222,29.33333333,31.07777778,36.34444444
919,69.26666667,32.12222222,29.32222222,31.07777778,36.34444444
920,69.26666667,32.12222222,29.32222222,31.14444444,36.34444444
921,69.13333333,32.11111111,29.32222222,31.14444444,36.38888889
922,69.13333333,32.07777778,29.41111111,31.14444444,36.38888889
923,69.33333333,32.15555556,29.43333333,31.14444444,36.38888889
924,69.33333333,32.14444444,29.4,31.16666667,36.34444444
925,69.26666667,32.21111111,29.4,31.16666667,36.34444444
926,69.26666667,32.21111111,29.4,31.16666667,36.34444444
927,68.93333333,32.2,29.4,31.16666667,36.4
928,68.93333333,32.21111111,29.4,31.16666667,36.35555556
929,68.93333333,32.21111111,29.4,31.27777778,36.35555556
930,68.93333333,32.21111111,29.4,31.32222222,36.35555556
931,68.93333333,32.22222222,29.4,31.32222222,36.33333333
932,68.93333333,32.21111111,29.4,31.34444444,36.21111111
933,68.93333333,32.27777778,29.4,31.34444444,36.21111111
934,68.93333333,32.23333333,29.4,31.34444444,36.36666667
935,68.93333333,32.23333333,29.44444444,31.34444444,36.35555556
936,68.93333333,32.31111111,29.42222222,31.34444444,36.35555556
937,68.93333333,32.31111111,29.42222222,31.34444444,36.33333333
938,68.93333333,32.31111111,29.42222222,31.34444444,36.33333333
939,68.93333333,32.31111111,29.43333333,31.38888889,36.33333333
940,68.93333333,32.31111111,29.44444444,31.38888889,36.37777778
941,68.93333333,32.34444444,29.44444444,31.38888889,36.35555556
942,68.93333333,32.34444444,29.48888889,31.38888889,36.35555556
943,68.93333333,32.34444444,29.47777778,31.38888889,36.35555556
944,68.93333333,32.33333333,29.47777778,31.38888889,36.35555556
945,69.2,32.33333333,29.47777778,31.38888889,36.35555556
946,69.2,32.3,29.47777778,31.38888889,36.35555556
947,69.2,32.31111111,29.5,31.38888889,36.35555556
948,69.2,32.31111111,29.52222222,31.38888889,36.43333333
949,69.2,32.33333333,29.51111111,31.38888889,36.43333333
950,69.26666667,32.33333333,29.48888889,31.41111111,36.5
951,69.26666667,32.33333333,29.48888889,31.4,36.5
952,69.26666667,32.34444444,29.48888889,31.4,36.54444444
953,69.26666667,32.34444444,29.51111111,31.4,36.54444444
954,69.26666667,32.36666667,29.51111111,31.42222222,36.6
955,69.26666667,32.38888889,29.51111111,31.42222222,36.6
956,69.26666667,32.38888889,29.53333333,31.42222222,36.6
957,69.26666667,32.38888889,29.53333333,31.42222222,36.6
958,69.26666667,32.38888889,29.53333333,31.44444444,36.58888889
959,69.26666667,32.43333333,29.53333333,31.44444444,36.58888889
960,69.2,32.47777778,29.55555556,31.44444444,36.62222222
961,69.2,32.48888889,29.55555556,31.44444444,36.62222222
962,69.2,32.53333333,29.55555556,31.42222222,36.6
963,69.2,32.53333333,29.55555556,31.42222222,36.6
964,69.2,32.53333333,29.57777778,31.46666667,36.6
965,69.2,32.53333333,29.57777778,31.46666667,36.6
966,69.2,32.55555556,29.55555556,31.46666667,36.6
967,69.2,32.55555556,29.57777778,31.44444444,36.6
968,69.2,32.54444444,29.57777778,31.44444444,36.57777778
969,69.2,32.53333333,29.64444444,31.44444444,36.57777778
970,69.4,32.68888889,29.64444444,31.44444444,36.62222222
971,69.4,32.66666667,29.64444444,31.43333333,36.63333333
972,69.6,32.7,29.64444444,31.43333333,36.63333333
973,69.6,32.7,29.66666667,31.4,36.63333333
974,69.6,32.72222222,29.65555556,31.45555556,36.63333333
975,69.6,32.74444444,29.65555556,31.44444444,36.63333333
976,69.53333333,32.74444444,29.7,31.44444444,36.63333333
977,69.46666667,32.72222222,29.73333333,31.37777778,36.65555556
978,69.46666667,32.74444444,29.73333333,31.37777778,36.67777778
979,69.46666667,32.74444444,29.76666667,31.41111111,36.67777778
980,69.46666667,32.74444444,29.78888889,31.37777778,36.67777778
981,69.46666667,32.75555556,29.78888889,31.4,36.67777778
982,69.66666667,32.75555556,29.76666667,31.4,36.66666667
983,69.66666667,32.71111111,29.76666667,31.4,36.68888889
984,69.66666667,32.71111111,29.76666667,31.4,36.68888889
985,69.66666667,32.71111111,29.76666667,31.4,36.74444444
986,69.66666667,32.71111111,29.84444444,31.4,36.71111111
987,69.66666667,32.71111111,29.84444444,31.4,36.7
988,69.66666667,32.71111111,29.86666667,31.42222222,36.72222222
989,69.66666667,32.71111111,29.84444444,31.42222222,36.72222222
990,69.66666667,32.71111111,29.8,31.42222222,36.72222222
991,69.66666667,32.71111111,29.8,31.44444444,36.72222222
992,69.66666667,32.71111111,29.82222222,31.44444444,36.72222222
993,69.66666667,32.71111111,29.82222222,31.44444444,36.74444444
994,69.66666667,32.71111111,29.82222222,31.44444444,36.78888889
995,69.66666667,32.71111111,29.82222222,31.46666667,36.81111111
996,69.66666667,32.73333333,29.78888889,31.46666667,36.81111111
997,69.66666667,32.75555556,29.83333333,31.46666667,36.81111111
998,69.66666667,32.75555556,29.88888889,31.46666667,36.81111111
999,69.8,32.78888889,29.9,31.47777778,36.8
1000,69.8,32.78888889,29.92222222,31.47777778,36.8
