Column_1,Column_2,Column_3,Column_4,Column_5,Test,Column_7,Column_8,Training,Column_10,Column_11,Column_12
popSize,nMutations,Mut. Rules Prob.,N instances,Ite.,Min,Avg,SD,Min2,Avg3,SD5,Generations
100,50,100,3,0,47796.0550766403,48191.6652367515,164.262281219587,43151.1347127269,43705.7070898176,349.694634034664,29.7333333333333
100,10,5,3,1,47818.0173170912,48192.3486041476,152.241010703721,43022.0530038111,43706.2130367584,392.068907031034,116.433333333333
100,10,20,3,1,47692.3889559623,48069.9312863447,307.53461937472,43139.5147285856,43736.672430733,434.754677452741,93.6
100,10,100,3,1,47459.7815937063,48044.7598262439,252.89888818604,43224.2796862876,43665.2085150084,283.812011335654,48.7333333333333
100,50,5,3,1,47957.8257035478,48151.7663329054,146.271944039626,42809.9230959941,43597.9559263188,249.453014569775,102.433333333333
100,50,20,3,1,47642.0431267134,48014.0266464459,137.219447954475,42987.2111496713,43676.3387742255,449.548298154955,67.5666666666666
100,50,100,3,1,47770.1022769318,48276.3664473573,300.846620991043,42654.4469107034,43848.7024852165,480.924201710712,24.6666666666666
100,10,5,5,0,47859.0044746036,48224.2223751376,230.510070692296,43105.2239092113,43885.8260379339,492.467711885961,120.633333333333
100,10,20,5,0,47439.4519615384,48012.1081301105,257.928910282796,43221.8198993429,43842.2618056611,576.407146057432,97.2
100,10,100,5,0,47571.5968140709,48025.157376374,254.480126843365,43248.6362889761,43674.6829327864,358.683891128423,50.7
100,50,5,5,0,47839.4885592544,48189.9723147572,232.06144239095,43228.2569423429,43674.7775858343,369.573717510013,98
100,50,20,5,0,47521.6010830777,48070.1782540244,262.459065632941,43092.6155302403,43814.1479000757,423.85700847584,63.9333333333333
100,50,100,5,0,47989.5491804908,48336.6808847217,191.661059438475,43240.1383940023,43851.107670922,496.154062659542,22.0666666666666
100,10,5,5,1,47951.5555768048,48169.4650017427,168.334879390745,43016.7284861843,43683.2796301635,433.238047495752,116.4
100,10,20,5,1,47683.528073373,47995.1143423678,184.788822842576,43027.9785164714,43677.7405689038,473.691843284818,86
100,10,100,5,1,47717.9760067433,48069.7538704287,195.708009302968,43032.1586328481,43765.8886784022,403.53598161332,40.3666666666666
100,50,5,5,1,47779.6851932417,48059.2273734163,142.982902363866,43254.4272637259,43803.5989934199,467.881733544872,95.8666666666666
100,50,20,5,1,47716.8649699749,48171.6775204704,239.81965605847,43089.1778309824,43783.5852532478,467.369305724079,52.0333333333333
100,50,100,5,1,48125.2391277247,48428.5708796706,252.022064003469,43213.6343985788,43874.789174659,488.972127687654,16.8666666666666
