Time(min),S 5 5,V 5 5,S 20 20,V 20 20
200,1.79724734230866,1.46702223175114,3.27341572083143,2.64301251818343
201,1.79728904143045,1.46750963533364,3.27315563658953,2.64141252603435
202,1.7971107545157,1.46727581434557,3.27069244698612,2.63985706343331
203,1.79736198478236,1.46732421010681,3.26806902558111,2.63752760430175
204,1.79769943494,1.46728240054605,3.26539429594066,2.63617579638352
205,1.79787175406406,1.46729878444213,3.26367972416544,2.63294871375319
206,1.79816159422287,1.46734664511873,3.26056561208178,2.63003592174205
207,1.79825161921849,1.46759950964197,3.25897646491977,2.62811805562271
208,1.79894319880148,1.46768066973412,3.25622624388823,2.62446449310947
209,1.79944591470528,1.467631325524,3.25553938612248,2.62232312972685
210,1.79941893761731,1.46775666743969,3.25427121138121,2.61885991198423
211,1.79941432654057,1.46774533328623,3.25183479135812,2.61605147079961
212,1.79977398255149,1.46769382496679,3.25177670253439,2.61446901001607
213,1.79961502960601,1.46792904458573,3.25041944592245,2.61284203474601
214,1.79935655854422,1.46850097513729,3.2475455441455,2.60996569580184
215,1.79891722188791,1.4689429463433,3.24747757595886,2.60783974648377
216,1.79905459129293,1.46952301750061,3.24437913680359,2.60604863152824
217,1.79919661389584,1.46959714357104,3.24202901946614,2.60439424011197
218,1.7997328005106,1.46984097050735,3.24154357514384,2.6017564383016
219,1.79974349370031,1.47002704690932,3.23955105827028,2.59944557428153
220,1.80018722486287,1.47024000755904,3.24032515733263,2.59747530824069
221,1.80057797398778,1.47033292173124,3.23906648781547,2.59509549701547
222,1.80080123473576,1.47068783601747,3.23767474915964,2.59293110126289
223,1.80101092924971,1.47104429515701,3.23572126598095,2.59124900377418
224,1.80050146893628,1.47134302444759,3.23502177218547,2.58875753503927
225,1.80027949240446,1.47127202945587,3.23440560729774,2.58690417529544
226,1.80039334079714,1.47147153611692,3.23307405327839,2.58609351053902
227,1.80104318508098,1.47200215038608,3.23020379385959,2.58505109946475
228,1.80107012493671,1.47192882194083,3.23005906994373,2.58335599535386
229,1.80143465136683,1.47191959146622,3.22810871109103,2.58027598564752
230,1.80188941098942,1.47207726273323,3.22614709301743,2.57845631701001
231,1.80216331918141,1.47254436823763,3.22527361537797,2.57716947581123
232,1.802605266725,1.47267908017561,3.22393479597622,2.57555778613896
233,1.80287379611863,1.47271920804818,3.22144865743019,2.57469346425878
234,1.80279213289378,1.4726540764939,3.22037350859486,2.57223237536971
235,1.80312143816244,1.47291433181767,3.21902766927495,2.5706313525725
236,1.80331223680473,1.47291040582404,3.21737767659966,2.56887876870753
237,1.80318810227219,1.4732339635413,3.2151546820903,2.56683803656276
238,1.80362759843848,1.47362827075439,3.21317706417765,2.56575771188236
239,1.80362119096262,1.473991468677,3.21440014479734,2.56371644144519
240,1.80373678400101,1.47417323893027,3.2143821909493,2.56159378082559
241,1.80346988829025,1.47406116312458,3.21326037258701,2.55913384337121
242,1.80366145863077,1.47421991617244,3.21131687170972,2.55728667678375
243,1.80397981606927,1.47425062610871,3.21022502923291,2.55550235443214
244,1.8045308132031,1.47435794737199,3.20845000723912,2.55415974273822
245,1.80507174073945,1.47452886764204,3.20815924510891,2.5535931670978
246,1.80500386327506,1.47483171256577,3.20723375153767,2.55200245536785
247,1.80562012733274,1.47532060833718,3.20581736238198,2.55010152898162
248,1.8058504475133,1.47554840945749,3.20447649483488,2.54802277996501
249,1.80615336722878,1.47569127132287,3.20330322120468,2.54644008114794
250,1.8061674759065,1.47586508677437,3.20255353520961,2.54505986553291
251,1.80584164514484,1.47608875045786,3.20213410188589,2.54411276856943
252,1.80603914906417,1.47649277496959,3.20026339260617,2.5431714089034
253,1.80575157214851,1.47655667466164,3.20049815041049,2.54208456788776
254,1.80594691985079,1.4766154334765,3.19928287064987,2.54049726419959
255,1.80608027762999,1.47695295051199,3.19909084029859,2.53922123307394
256,1.80644892840933,1.47735945565207,3.19738869451646,2.53806727715234
257,1.80611690874368,1.47741975366794,3.19629677154206,2.53658600516655
258,1.80611935305487,1.47768611543218,3.19489335262491,2.53525461408068
259,1.80586706567164,1.47770034188172,3.19322061925287,2.53418654394964
260,1.80597362817445,1.47796178119584,3.19234521878151,2.5336400429949
261,1.80633822449262,1.47815026450443,3.19226884311345,2.53226372862487
262,1.80647326390932,1.47835004039807,3.19088144627815,2.53086594755034
263,1.80634166256793,1.47864552416717,3.18965470410721,2.52895289329153
264,1.80644582894852,1.47887429449388,3.18888904758149,2.52765280008509
265,1.80656281975905,1.47911537389586,3.18808700240593,2.52648205757127
266,1.80668803269671,1.47945938838084,3.18754424216281,2.5249220379088
267,1.80681704670377,1.47982800208638,3.18710611483843,2.52425402861844
268,1.80703327372188,1.4799770221105,3.1865455620414,2.52293049095447
269,1.80724816208512,1.48027191805956,3.1849330256073,2.52199651803034
270,1.80719743793862,1.48049863109838,3.18517935350108,2.521021091849
271,1.80757161184494,1.48078910767983,3.18407017206586,2.51940547707832
272,1.80729109748543,1.48117210699894,3.18475159766685,2.51809877966368
273,1.80794071983308,1.48136334559604,3.1839501272711,2.51731276231606
274,1.8083088604178,1.48161037690858,3.18261075450682,2.51673520883885
275,1.80846855547721,1.48180383300551,3.18046420341132,2.51563961566212
276,1.80872199371389,1.48187507911733,3.17989725898845,2.51424863748949
277,1.80885640629679,1.48183938912331,3.17908927482446,2.51392720030696
278,1.80896686853819,1.48191091111951,3.17760335201316,2.51243246194104
279,1.80940692119734,1.48209824116236,3.17647222827705,2.5117301273999
280,1.80973292220927,1.48225639152633,3.17552350788814,2.51047223651459
281,1.80983485612557,1.48225974355562,3.17499152521572,2.50880859542041
282,1.80967880673062,1.48238549571358,3.17446366423799,2.50776612910487
283,1.81010950430231,1.48268642678428,3.17234257450054,2.50658239069493
284,1.81040299433031,1.48275431503076,3.17148482971463,2.50490824322147
285,1.81069574600834,1.4829491270684,3.16994259813207,2.50332758301194
286,1.8109527737418,1.48329678311939,3.16934451979867,2.50232898119816
287,1.8110185217915,1.48360925302232,3.16933877398145,2.50167070790473
288,1.81144426771761,1.48365953921089,3.16773181231997,2.50015881229029
289,1.8115887089597,1.4839620093398,3.16660206129804,2.49913081011378
290,1.81153768684856,1.4840616244758,3.16533908637,2.49791724449403
291,1.81135404239892,1.48426291576001,3.16485157272159,2.49686568894911
292,1.8113548818392,1.48477390072126,3.16362966896198,2.49588689233858
293,1.81151346563727,1.48488238375694,3.16304786244186,2.49459107079843
294,1.81148537726732,1.48513274280756,3.16140724557267,2.49373505643146
295,1.81171142958284,1.48526556114032,3.15979538422545,2.49287183392574
296,1.81206384262371,1.48540998261432,3.15926898342528,2.49198714681095
297,1.81204110051247,1.48545539323135,3.15839232794393,2.4910306041155
298,1.81244950032625,1.48566383615944,3.15652853600946,2.48907948183824
299,1.81241847178147,1.48581738889526,3.15547936965791,2.48790869191957
300,1.81267545173179,1.48610242592469,3.15408486633213,2.48723887664411
301,1.8129718892566,1.48640279294143,3.1532595070057,2.48560409716448
302,1.81331399656758,1.48625576361791,3.15221213329983,2.48367611057896
303,1.81377865918156,1.48662443187889,3.1509540813457,2.48255302837056
304,1.81387143381248,1.48667377438841,3.14981898189195,2.48134741576417
305,1.81399447304644,1.48679656671379,3.14890001927487,2.48031510549252
306,1.81438114184359,1.486791694661,3.14798178418283,2.47931135345796
307,1.81444825118838,1.48704131914885,3.1486856156174,2.47791268724493
308,1.81444040106345,1.48713507945942,3.1481104806738,2.47670937263978
309,1.81477859998612,1.48722306241041,3.14810008301361,2.47576716326841
310,1.81526705892198,1.48728841773257,3.14596605713746,2.47441108231036
311,1.81532295691154,1.48736791050452,3.14413407462074,2.47284075163458
312,1.8158433772546,1.48738520376019,3.14421068255155,2.47128828060755
313,1.81607125470328,1.48789962354276,3.14355934243873,2.47021480929374
314,1.81650247384887,1.48826440037409,3.14233463154376,2.469141679396
315,1.81644478070339,1.48857021515242,3.14167616239878,2.46837897507308
316,1.81649138739084,1.48898269895618,3.1414683008494,2.46702087427081
317,1.81689659102816,1.48932157965082,3.14098639175792,2.46585408631108
318,1.81671082273742,1.4895341120851,3.14082998975412,2.46527471183318
