Time(min),GP,S 5 5,V 5 5,S 20 20,V 20 20
407,58479.3743214724,55847.8739660764,67282.4467499982,53897.0540580279,55626.6468691769
408,58474.1538051102,55847.8739660764,67282.1489724304,53889.4570046695,55627.7255339161
409,58473.6483909114,55845.1002680401,67282.1489724304,53889.4570046695,55626.3954375459
410,58473.6483909114,55845.024592412,67282.1489724304,53874.2019911338,55638.1039299851
411,58473.6483909114,55842.7296163822,67282.1489724304,53873.968463073,55638.1039299851
412,58368.3396518056,55842.7296163822,67283.2734601138,53871.6564413904,55637.8398839423
413,58368.3396518056,55842.5563704028,67282.7771079236,53872.9944894064,55633.1902377628
414,58305.2298145686,55843.8934066527,67281.5355110194,53865.8880890991,55635.4593411633
415,58305.2298145686,55841.771493102,67285.1017108729,53865.0660483156,55635.4593411633
416,58302.5130658519,55842.5876370812,67285.1017108729,53864.4325561755,55635.4593411633
417,58302.5130658519,55841.6292079692,67287.7241794828,53860.2518565371,55619.0848788959
418,58298.4592974346,55841.6292079692,67287.7241794828,53858.9783338901,55615.4782687653
419,58298.4592974346,55841.5717892783,67282.0123400363,53857.3417244518,55608.4485813029
420,58298.4583932322,55839.20765535,67280.1876999108,53839.1310975579,55604.7033006207
421,58143.4487834685,55839.1683371305,67258.3296504316,53843.9006559044,55604.6183743348
422,58143.4487834685,55838.7191872139,67254.784144272,53837.4961912022,55616.2149377989
423,58141.0434872623,55837.9989773411,67258.692123443,53837.4961912022,55629.6816326472
424,58146.5748164452,55837.9989773411,67257.7264008695,53837.4961912022,55629.6816326472
425,58146.5748164452,55835.6754940173,67257.7264008695,53834.8107606267,55608.5122548636
426,58146.5748164452,55835.1095588789,67255.9823036218,53825.6593588982,55602.6065822003
427,58146.3880850395,55835.1095588789,67255.0255730214,53784.7810903095,55602.6065822003
428,58146.3880850395,55835.1095588789,67253.9679066906,53807.3221798827,55602.6065822003
429,58146.3880850395,55836.3646250972,67252.1491220061,53807.3221798827,55601.4500574592
430,58146.3880850395,55836.3646250972,67251.6297785781,53804.9526629165,55604.5214488619
431,58146.3880850395,55836.2911974168,67236.9880534692,53804.4929005886,55599.322585874
432,58146.2275252234,55833.1919411515,67236.9880534692,53804.4929005886,55605.379387522
433,58146.2275252234,55833.1919411515,67234.5818703977,53800.3849934967,55604.3158742436
434,58146.0031652064,55833.1919411515,67234.1842479473,53792.3095383672,55596.3862054317
435,58144.044587256,55833.1919411515,67232.7597936783,53774.780992068,55596.3862054317
436,58141.6593719482,55833.2432099408,67228.6930569269,53774.780992068,55596.3862054317
437,58133.7380226115,55835.7523279583,67227.9271018017,53782.6359730662,55596.3862054317
438,58126.6310093294,55835.7523279583,67227.9271018017,53780.6528035293,55607.4008475576
439,58126.2063751037,55835.7331417581,67227.2404101412,53780.3354487251,55604.717647653
440,58124.6941757981,55829.8151124246,67221.6050224583,53791.7827040725,55602.9993053831
441,58128.6159665241,55829.8151124246,67215.9860928373,53789.649767025,55602.9993053831
442,58128.6295791593,55832.8974656426,67212.2387409935,53789.0828198557,55606.4040766029
443,58127.1120849944,55832.6151362862,67212.2387409935,53777.9788438674,55604.1696363452
444,58127.1120849944,55829.6230177893,67212.2387409935,53777.9788438674,55603.9496741082
445,58127.1120849944,55829.6230177893,67221.737425311,53783.6185963309,55630.4696227611
446,58125.9164149111,55826.3384615192,67221.737425311,53821.9769608847,55629.4599753338
447,58125.4341689059,55826.7008137547,67221.2713396593,53821.8830741934,55586.568771174
448,58125.4341689059,55826.7008137547,67220.582412398,53821.8830741934,55582.7374561755
449,58126.6013789104,55826.5371295577,67220.1765922555,53815.734790024,55582.7374561755
450,58126.6013789104,55825.5427817621,67221.8208119414,53813.352964935,55582.7374561755
451,58126.6013789104,55825.5427817621,67221.8208119414,53807.912175482,55582.6403064375
452,58126.6013789104,55825.5427817621,67221.8208119414,53807.9430603113,55577.6451474228
453,58126.6013789104,55825.3853284057,67221.7541452747,53813.3816082291,55570.4074566917
454,58126.6013789104,55824.5069164572,67220.3207761875,53813.3816082291,55553.9134115875
455,58126.6013789104,55824.194876547,67221.6123470709,53857.8298182476,55553.394321212
456,58126.6013789104,55822.1782800828,67221.6123470709,53859.2716897341,55553.394321212
457,58126.6013789104,55821.7280145507,67221.331394263,53858.3187360971,55555.1931162775
458,58124.8537503533,55820.0416342135,67221.331394263,53854.8999261069,55555.1931162775
459,58123.6324506076,55820.0416342135,67220.0598607624,53861.3165751289,55566.0710849505
460,58123.5932285964,55820.0416342135,67220.0598607624,53859.333405592,55564.9605826316
461,58123.5932285964,55819.1720780397,67220.0598607624,53871.0010632025,55564.9491983492
462,58128.3084399054,55819.4442646177,67219.7926666299,53871.0010632025,55567.7257955029
463,58128.3084399054,55817.9221656365,67218.2845300297,53870.9988712145,55565.3945428781
464,58128.3084399054,55817.9221656365,67218.2845300297,53870.9988712145,55565.2203087816
465,58128.2805970423,55817.8405954919,67217.8565763245,53899.7213317838,55563.1896254019
466,58128.2805970423,55817.8405954919,67217.8565763245,53901.0593797998,55563.1896254019
467,58132.8588558445,55812.8174156793,67217.8565763245,53901.0593797998,55563.1896254019
468,58132.8588558445,55812.5053757692,67217.8565763245,53887.544272618,55565.8756008372
469,58129.0674255882,55812.5053757692,67217.8565763245,53886.2013314608,55561.7888165202
470,58124.6312204005,55812.1113680593,67217.8565763245,53886.2013314608,55561.7888165202
471,58105.5307443128,55812.0766773644,67226.5952275604,53881.2027473771,55566.2552945159
472,58105.5307443128,55809.7137224774,67226.5952275604,53879.6344437727,55568.4373214802
473,58105.5307443128,55809.3723179414,67232.549978861,53873.7476107779,55568.3857832296
474,58105.5307443128,55809.3029539768,67232.3870239239,53871.2846169688,55567.2121760583
475,58103.5534120572,55809.3029539768,67232.1300674117,53871.2846169688,55559.5395767711
476,58103.5534120572,55809.3029539768,67232.1300674117,53871.2290786534,55558.9591163494
477,58103.5534120572,55809.3029539768,67232.3551211079,53872.5402101237,55537.0964337199
478,58106.8157463095,55809.3029539768,67231.5508173461,53872.5402101237,55533.9959805831
479,58106.8157463095,55806.7593677659,67230.4919544274,53872.5402101237,55548.5133678138
480,58106.3131291644,55807.3248429685,67232.7796621953,53872.3793102243,55548.2934055767
481,58106.3131291644,55807.3248429685,67232.7796621953,53870.3675060876,55544.5733410205
482,58106.3131291644,55805.6339247155,67232.1349752148,53873.6107074878,55542.2816319299
483,58106.3131291644,55805.0802155328,67232.1349752148,53875.3239136286,55538.1947707947
484,58106.3131291644,55805.0802155328,67232.1349752148,53875.1949288616,55526.5554493161
485,58106.3131291644,55805.0802155328,67230.7523909091,53875.1949288616,55520.7835236573
486,58106.3131291644,55805.0802155328,67230.5743152954,53864.4912747697,55523.7247076358
487,58106.3131291644,55804.926566369,67228.8434296151,53862.9287704027,55523.6828401702
488,58106.3131291644,55804.926566369,67228.8434296151,53862.8063276176,55520.9501575107
489,58106.3131291644,55793.5511601821,67228.8434296151,53862.6673023019,55512.4980939165
490,58106.3131291644,55791.1784301157,67228.6337021093,53862.6673023019,55508.4116408926
491,58106.3131291644,55787.960781516,67228.6337021093,53861.404949433,55497.3990661515
492,58106.3131291644,55787.960781516,67228.1997973939,53852.8814305012,55516.4812808446
493,58094.9537021422,55786.2315188077,67228.1997973939,53850.422844341,55516.4812808446
494,58087.6735468237,55779.1515500555,67227.9988018622,53850.422844341,55516.4812808446
495,58077.4273860598,55782.6327770073,67227.9988018622,53798.8190694232,55518.145185493
496,58077.4273860598,55782.2904202648,67226.9370941566,53798.8190694232,55517.4693600593
497,58077.4273860598,55778.7648415013,67223.5924835548,53798.8190694232,55517.4693600593
498,58075.9535645589,55778.7648415013,67184.6868027121,53796.6848460613,55508.1023462839
499,58075.9535645589,55804.3102780749,67226.4437807359,53796.6848460613,55509.4581819407
500,58075.9535645589,55805.4090866449,67223.4360264405,53796.6848460613,55509.4581819407
501,58075.9535645589,55795.2304884337,67216.6543686266,53796.3222460139,55502.6038932227
502,58072.5194749835,55795.2304884337,67207.4092945202,53794.8779689124,55498.392579945
503,58072.5194749835,55798.9618697903,67207.4092945202,53797.0174689366,55508.6805924752
504,58072.5194749835,55798.9618697903,67178.07401969,53807.6051731502,55507.6618806448
505,58072.5194749835,55796.8875570537,67177.8917553028,53807.6051731502,55500.897103138
506,58073.5195165995,55796.9650423479,67193.4910026013,53807.2559550904,55500.2554073938
507,58073.4107805096,55796.9650423479,67193.0329199979,53807.2559550904,55493.2891797564
508,58073.4107805096,55796.723587558,67193.0329199979,53794.0253436817,55505.3380588711
509,58073.4107805096,55794.230251467,67186.8087064108,53792.5739695531,55504.576709826
510,58073.4107805096,55786.0384045375,67184.216856885,53792.4393284932,55485.2841526638
511,58070.04978572,55786.0384045375,67184.216856885,53796.335737663,55481.3791681319
512,58065.2861788834,55792.5224427212,67184.216856885,53795.5766585687,55491.7157938354
513,58090.6250125212,55792.2414231405,67168.8702872486,53795.0708065452,55483.3859365233
514,58090.6250125212,55790.9719880608,67167.8762146639,53794.7312483482,55532.5033106588
515,58088.0634907626,55789.6970445834,67167.8762146639,53794.7312483482,55528.5089914692
516,58083.6415400305,55789.6970445834,67195.6375415908,53793.1879074964,55525.2573866914
517,58086.5976534738,55789.6970445834,67193.7496819368,53792.1227142192,55507.8848139236
518,58086.5976534738,55740.7913110061,67113.899353732,53790.8629982632,55474.4957668565
519,58086.5976534738,55735.4894924742,66502.1206972655,53788.1781650163,55474.9894465201
520,58086.1134980136,55729.1716533609,66402.2391648291,53786.7437709049,55474.9894465201
521,58086.1134980136,55724.570553166,66367.2095906984,53786.1948046013,55474.9894465201
522,58086.1134980136,55724.570553166,66367.8459840971,53785.6599034197,55476.0414204031
523,58091.7156448397,55726.9439827454,66366.7174378671,53785.6599034197,55476.0414204031
524,58091.7156448397,55724.1586270532,66366.7174378671,53784.5398092886,55418.5785228388
525,58065.1092358563,55725.8308497101,66342.2296647935,53783.8628306166,55413.3155905524
526,58065.1092358563,55725.8308497101,66321.2464723686,53780.0640835852,55413.3155905524
527,58065.1092358563,55725.8308497101,66316.8898831358,53767.4208346544,55407.0217312378
528,58065.1092358563,55725.8308497101,66315.7927276526,53761.5971913084,55404.8154400266
529,58065.1092358563,55725.8308497101,66315.5536660354,53761.5971913084,55403.0928841522
530,58065.1092358563,55724.4619228126,66315.5536660354,53760.6065189632,55395.3563432317
531,58065.1092358563,55724.4619228126,66314.5236281361,53760.6065189632,55395.3563432317
532,58065.1092358563,55733.3154006263,66314.5236281361,53760.6065189632,55394.4856905325
533,58065.1092358563,55728.1793134586,66305.8895614761,53760.5078429934,55499.5351280616
534,58064.5025877173,55728.1793134586,66304.84639849,53757.3134581055,55513.4401116483
535,58064.5025877173,55725.0577049312,66303.9806710807,53753.7379151404,55512.1837614512
536,58062.0354904712,55725.0577049312,66314.3566691525,53753.5729386058,55415.8442408593
537,58050.821436593,55723.6358670259,66313.4363935199,53751.748171456,55414.7787660364
538,58051.6068969132,55721.2173317892,66313.4363935199,53751.748171456,55414.7787660364
539,58051.6068969132,55721.2173317892,66313.4363935199,53749.45474964,55405.9090586455
540,58051.6068969132,55721.2173317892,66320.4878050543,53745.1735256626,55405.9090586455
541,58051.6068969132,55720.116883805,66313.5289958854,53734.848961808,55405.9090586455
542,58051.0113798256,55720.116883805,66304.8567292728,53734.848961808,55405.9090586455
543,58051.0113798256,55720.116883805,66304.8567292728,53732.9543078475,55404.3508566111
544,58041.1279782087,55720.116883805,66302.2867113433,53732.2120740153,55441.5035528709
545,58041.1279782087,55720.116883805,66313.7718451011,53731.9323158394,55447.7240307886
546,58041.1279782087,55719.506758713,66313.5638830272,53728.9623495274,55447.7240307886
547,58041.1279782087,55719.506758713,66302.8402530751,53728.9623495274,55447.7240307886
548,58041.1279782087,55718.7425271388,66302.8402530751,53728.9623495274,55409.196338073
