Column_1,SEC,Column_3,Column_4,Column_5,Column_6,Column_7,GA,Column_9,Column_10,Column_11,Column_12,Column_13,MGA,Column_15,Column_16,Column_17,Column_18,Column_19
Time(min),3  Sum SEC,3  Vote SEC,5  Sum SEC,5  Vote SEC,7  Sum SEC,7  Vote SEC,3  Sum GA,3  Vote GA,5  Sum GA,5  Vote GA,7  Sum GA,7  Vote GA,3  Sum MGA,3  Vote  MGA,5  Sum MGA,5  Vote MGA,7  Sum MGA,7  Vote MGA
12,395.4,397.1,396.833333333333,400.3,398.866666666666,403.533333333333,395,397,392.966666666666,394.7,395.066666666666,395.933333333333,393.133333333333,395.666666666666,394.266666666666,395.733333333333,397.466666666666,398.566666666666
13,395.266666666666,397.1,396.833333333333,400.1,398.766666666666,402.866666666666,395,397,392.933333333333,394.666666666666,394.433333333333,395,392.733333333333,395.433333333333,394,395.533333333333,396.833333333333,397.366666666666
14,395.266666666666,397,396.666666666666,399.9,398.733333333333,402.833333333333,395,397,392.766666666666,394.6,394.166666666666,394.5,392.5,395.266666666666,393.7,395.4,396.433333333333,396.633333333333
15,395.166666666666,397,396.566666666666,399.666666666666,398.633333333333,402.633333333333,395,397,392.766666666666,394.533333333333,393.933333333333,394.033333333333,392.433333333333,395.1,393.466666666666,394.833333333333,396.166666666666,396.066666666666
16,395.166666666666,397,396.533333333333,399.6,398.566666666666,402.433333333333,395,397,392.7,394.433333333333,393.833333333333,393.566666666666,392.233333333333,394.966666666666,393.066666666666,394.433333333333,395.9,395.633333333333
17,395.166666666666,397,396.433333333333,399.466666666666,398.566666666666,402.3,395,397,392.633333333333,394.2,393.566666666666,393,392.166666666666,394.933333333333,392.933333333333,394.066666666666,395.566666666666,394.766666666666
18,395.133333333333,397,396.333333333333,399.333333333333,398.433333333333,402.2,395,397,392.633333333333,394.033333333333,393.233333333333,392.666666666666,392.066666666666,394.666666666666,392.866666666666,394.033333333333,395.266666666666,394.166666666666
19,395.066666666666,397,396.233333333333,398.9,398.333333333333,402.2,395,397,392.633333333333,393.9,392.9,392.3,392.033333333333,394.466666666666,392.8,393.766666666666,395.133333333333,394
20,395.033333333333,397,396.2,398.9,398.3,401.633333333333,395,397,392.566666666666,393.8,392.8,392.1,391.866666666666,394.4,392.566666666666,393.466666666666,394.866666666666,393.5
21,395.033333333333,397,396.2,398.7,398.266666666666,401.533333333333,395,397,392.566666666666,393.766666666666,392.733333333333,391.933333333333,391.733333333333,394.233333333333,392.3,393.333333333333,394.2,393.1
22,395.033333333333,397,396.2,398.666666666666,398.233333333333,401.366666666666,395,397,392.566666666666,393.566666666666,392.733333333333,391.7,391.633333333333,394.233333333333,392.233333333333,393.233333333333,393.8,392.866666666666
23,395.033333333333,397,396.2,398.633333333333,398.233333333333,401.366666666666,395,397,392.566666666666,393.466666666666,392.633333333333,391.633333333333,391.466666666666,393.966666666666,392.133333333333,392.9,393.566666666666,392.733333333333
24,395.033333333333,397,396.133333333333,398.366666666666,398.233333333333,401.3,395,397,392.566666666666,393.266666666666,392.633333333333,391.3,391.466666666666,393.833333333333,392.066666666666,392.733333333333,393.533333333333,392.5
25,395,397,396,398.366666666666,397.933333333333,401.3,395,397,392.566666666666,393.2,392.5,391.1,391.433333333333,393.766666666666,392.033333333333,392.533333333333,393.4,392.066666666666
26,395,397,396,398.366666666666,397.933333333333,401.266666666666,395,397,392.566666666666,393.1,392.466666666666,390.933333333333,391.333333333333,393.533333333333,391.933333333333,392.533333333333,393.233333333333,391.833333333333
27,395,397,396,398.3,397.833333333333,401.266666666666,395,397,392.5,393.1,392.433333333333,390.633333333333,391.3,393.4,391.9,392.433333333333,393.1,391.666666666666
28,395,397,395.933333333333,398.133333333333,397.733333333333,401.266666666666,395,397,392.5,393.066666666666,392.4,390.333333333333,391.2,393.333333333333,391.766666666666,392.266666666666,392.9,391.366666666666
29,395,397,395.9,398.133333333333,397.733333333333,401.266666666666,395,397,392.466666666666,393.033333333333,392.4,390.166666666666,391.166666666666,393,391.7,391.866666666666,392.766666666666,391.333333333333
30,395,397,395.766666666666,398.133333333333,397.7,401.266666666666,395,397,392.466666666666,392.966666666666,392.333333333333,390.133333333333,391.133333333333,392.9,391.666666666666,391.8,392.666666666666,391.133333333333
31,395,397,395.766666666666,398.133333333333,397.7,400.9,395,397,392.466666666666,392.966666666666,392.266666666666,390.066666666666,391.066666666666,392.9,391.666666666666,391.633333333333,392.6,390.933333333333
32,395,397,395.766666666666,398.133333333333,397.7,400.9,395,397,392.466666666666,392.966666666666,392.2,389.933333333333,391,392.8,391.5,391.566666666666,392.366666666666,390.7
33,395,397,395.733333333333,398.133333333333,397.5,400.9,395,397,392.466666666666,392.933333333333,392.133333333333,389.7,391,392.766666666666,391.433333333333,391.533333333333,392.266666666666,390.6
34,395,397,395.733333333333,398.133333333333,397.4,400.833333333333,395,397,392.466666666666,392.9,392.133333333333,389.633333333333,391,392.766666666666,391.366666666666,391.333333333333,392.233333333333,390.566666666666
35,395,397,395.633333333333,398.133333333333,397.233333333333,400.833333333333,395,397,392.466666666666,392.9,392.066666666666,389.533333333333,390.933333333333,392.666666666666,391.333333333333,391.133333333333,392.2,390.433333333333
36,395,397,395.6,398.133333333333,397.233333333333,400.833333333333,395,397,392.466666666666,392.7,392,389.366666666666,390.866666666666,392.6,391.2,391,392.2,390.4
37,395,397,395.566666666666,398.133333333333,397.233333333333,400.8,395,397,392.4,392.666666666666,391.966666666666,389.233333333333,390.833333333333,392.6,391.1,390.933333333333,392.133333333333,390.166666666666
38,395,397,395.566666666666,398,397.166666666666,400.8,395,397,392.4,392.666666666666,391.966666666666,389.233333333333,390.833333333333,392.466666666666,391.066666666666,390.9,391.966666666666,390
39,395,397,395.566666666666,397.866666666666,397.133333333333,400.8,395,397,392.333333333333,392.633333333333,391.966666666666,389.2,390.8,392.433333333333,391.033333333333,390.866666666666,391.9,389.9
40,395,397,395.533333333333,397.866666666666,396.866666666666,400.8,395,397,392.333333333333,392.633333333333,391.966666666666,389.1,390.766666666666,392.333333333333,391,390.866666666666,391.766666666666,389.8
41,395,397,395.533333333333,397.866666666666,396.866666666666,400.8,395,397,392.333333333333,392.633333333333,391.933333333333,389.1,390.666666666666,392.333333333333,390.933333333333,390.7,391.633333333333,389.766666666666
42,395,397,395.433333333333,397.633333333333,396.8,400.733333333333,395,397,392.333333333333,392.633333333333,391.933333333333,389.066666666666,390.666666666666,392.266666666666,390.933333333333,390.533333333333,391.633333333333,389.766666666666
43,395,397,395.366666666666,397.533333333333,396.8,400.733333333333,395,397,392.333333333333,392.633333333333,391.933333333333,389,390.6,392.233333333333,390.933333333333,390.433333333333,391.5,389.733333333333
44,395,397,395.366666666666,397.4,396.8,400.733333333333,395,397,392.333333333333,392.566666666666,391.9,389,390.6,392.166666666666,390.9,390.233333333333,391.366666666666,389.7
45,395,397,395.366666666666,397.333333333333,396.8,400.733333333333,395,397,392.333333333333,392.566666666666,391.866666666666,388.933333333333,390.533333333333,392.133333333333,390.866666666666,390.233333333333,391.233333333333,389.633333333333
46,395,397,395.366666666666,397.333333333333,396.8,400.633333333333,395,397,392.333333333333,392.466666666666,391.866666666666,388.933333333333,390.533333333333,392.066666666666,390.8,390.166666666666,391.2,389.533333333333
47,395,397,395.366666666666,397.333333333333,396.8,400.5,395,397,392.333333333333,392.466666666666,391.866666666666,388.866666666666,390.466666666666,392.066666666666,390.766666666666,390.1,391.133333333333,389.466666666666
48,395,397,395.366666666666,397.333333333333,396.666666666666,400.5,395,397,392.333333333333,392.466666666666,391.833333333333,388.833333333333,390.433333333333,392.066666666666,390.733333333333,390.066666666666,391.066666666666,389.433333333333
49,395,397,395.366666666666,397.333333333333,396.666666666666,400.433333333333,395,397,392.333333333333,392.433333333333,391.833333333333,388.766666666666,390.366666666666,392,390.566666666666,390.033333333333,390.966666666666,389.433333333333
50,395,397,395.366666666666,397.333333333333,396.633333333333,400.366666666666,395,397,392.2,392.433333333333,391.833333333333,388.766666666666,390.333333333333,392,390.533333333333,390,390.833333333333,389.333333333333
51,395,397,395.366666666666,397.333333333333,396.633333333333,400.366666666666,395,397,392.2,392.433333333333,391.833333333333,388.766666666666,390.333333333333,391.866666666666,390.5,389.933333333333,390.7,389.266666666666
52,395,397,395.366666666666,397.333333333333,396.633333333333,400.233333333333,395,397,392.2,392.366666666666,391.833333333333,388.766666666666,390.3,391.833333333333,390.5,389.833333333333,390.633333333333,389.233333333333
53,395,397,395.366666666666,397.333333333333,396.633333333333,400.233333333333,395,397,392.2,392.333333333333,391.766666666666,388.766666666666,390.233333333333,391.833333333333,390.5,389.8,390.566666666666,389.2
54,395,397,395.366666666666,397.066666666666,396.633333333333,400.233333333333,395,397,392.2,392.333333333333,391.733333333333,388.633333333333,390.233333333333,391.8,390.5,389.766666666666,390.5,389.133333333333
55,395,397,395.366666666666,396.933333333333,396.633333333333,400.233333333333,395,397,392.2,392.333333333333,391.733333333333,388.633333333333,390.2,391.733333333333,390.5,389.766666666666,390.5,389.133333333333
56,395,397,395.366666666666,396.866666666666,396.633333333333,400.233333333333,395,397,392.2,392.333333333333,391.733333333333,388.633333333333,390.2,391.733333333333,390.466666666666,389.7,390.5,389
57,395,397,395.366666666666,396.866666666666,396.633333333333,400.233333333333,395,397,392.2,392.3,391.733333333333,388.633333333333,390.1,391.6,390.466666666666,389.666666666666,390.4,388.933333333333
58,395,397,395.333333333333,396.866666666666,396.633333333333,400.233333333333,395,397,392.2,392.266666666666,391.733333333333,388.633333333333,390.066666666666,391.6,390.4,389.6,390.366666666666,388.866666666666
59,395,397,395.333333333333,396.866666666666,396.6,400.233333333333,395,397,392.2,392.266666666666,391.733333333333,388.6,390,391.566666666666,390.366666666666,389.566666666666,390.366666666666,388.8
60,395,397,395.3,396.866666666666,396.6,400.233333333333,395,397,392.2,392.266666666666,391.733333333333,388.533333333333,390,391.466666666666,390.3,389.566666666666,390.366666666666,388.733333333333
61,395,397,395.3,396.866666666666,396.6,400.233333333333,395,397,392.2,392.233333333333,391.733333333333,388.533333333333,389.933333333333,391.433333333333,390.2,389.533333333333,390.333333333333,388.6
62,395,397,395.266666666666,396.866666666666,396.6,400.233333333333,395,397,392.2,392.233333333333,391.733333333333,388.533333333333,389.933333333333,391.433333333333,390.2,389.433333333333,390.3,388.6
63,395,397,395.133333333333,396.833333333333,396.566666666666,400.233333333333,395,397,392.2,392.233333333333,391.733333333333,388.5,389.9,391.433333333333,390.166666666666,389.233333333333,390.3,388.466666666666
