Time(min),GP,S 5 5,V 5 5,S 20 20,V 20 20
264,475.4,459.266666666666,577.766666666666,426.833333333333,486.033333333333
265,475.2,459.233333333333,577.766666666666,426.8,486
266,475.2,459.2,577.766666666666,426.766666666666,485.366666666666
267,475.2,459.133333333333,577.733333333333,426.5,485.266666666666
268,475.133333333333,459.1,577.733333333333,426.366666666666,485.233333333333
269,475.066666666666,459.1,577.7,426.333333333333,485.1
270,475,459.1,577.7,426.3,485.1
271,475,459.1,577.666666666666,426.3,485
272,474.866666666666,459.066666666666,577.666666666666,426.266666666666,484.9
273,474.8,459.066666666666,577.633333333333,426.233333333333,484.833333333333
274,474.8,459.033333333333,577.633333333333,426.166666666666,484.833333333333
275,474.766666666666,459,577.6,425.933333333333,484.666666666666
276,474.766666666666,458.833333333333,577.6,425.766666666666,484.6
277,474.566666666666,458.833333333333,577.6,425.666666666666,484.5
278,474.5,458.833333333333,577.6,425.6,484.366666666666
279,474.5,458.733333333333,577.533333333333,425.5,484.333333333333
280,474.4,458.733333333333,577.5,425.433333333333,484.333333333333
281,474.366666666666,458.633333333333,577.5,425.4,484.233333333333
282,473.866666666666,458.633333333333,577.466666666666,425.333333333333,483.966666666666
283,473.833333333333,458.633333333333,577.4,425.266666666666,483.966666666666
284,473.833333333333,458.633333333333,577.366666666666,425.233333333333,483.8
285,473.833333333333,458.566666666666,577.366666666666,425.166666666666,483.666666666666
286,473.8,458.566666666666,577.366666666666,425.166666666666,483.666666666666
287,473.733333333333,458.566666666666,577.366666666666,425.166666666666,483.633333333333
288,473.733333333333,458.566666666666,577.3,425.166666666666,483.6
289,473.733333333333,458.566666666666,577.3,425.166666666666,483.433333333333
290,473.7,458.566666666666,577.133333333333,425.1,483.366666666666
291,473.566666666666,458.566666666666,576.966666666666,425.1,483.3
292,473.566666666666,457.9,576.9,425.1,483.3
293,473.533333333333,457.7,576.833333333333,424.9,483.266666666666
294,473.533333333333,457.566666666666,576.7,424.7,483.066666666666
295,473.533333333333,457.533333333333,576.533333333333,424.566666666666,482.8
296,473.533333333333,457.533333333333,576.5,424.566666666666,482.8
297,473.466666666666,457.533333333333,576.466666666666,424.533333333333,482.8
298,473.433333333333,457.4,576.433333333333,424.466666666666,482.5
299,473.433333333333,457.366666666666,576.4,424.4,482.266666666666
300,473.333333333333,457.3,576.333333333333,424.333333333333,482.233333333333
301,473.3,457.3,576.3,424.3,482.133333333333
302,473.3,457.266666666666,576.3,423.966666666666,482.033333333333
303,473.3,457.233333333333,576.3,423.933333333333,482.033333333333
304,473.3,457.233333333333,576.266666666666,423.933333333333,481.7
305,473.3,457.233333333333,576.266666666666,423.866666666666,481.7
306,473.3,457.166666666666,576.266666666666,423.8,481.566666666666
307,473.3,457.166666666666,576.266666666666,423.6,481.533333333333
308,473.233333333333,457.166666666666,576.266666666666,423.566666666666,481.533333333333
309,473.233333333333,457.166666666666,576.166666666666,423.533333333333,481.466666666666
310,473.233333333333,456.933333333333,576.133333333333,423.5,481.433333333333
311,473.2,456.866666666666,576.033333333333,423.466666666666,481.433333333333
312,473.2,456.833333333333,576.033333333333,423.4,481.066666666666
313,473.2,456.833333333333,576.033333333333,423.333333333333,481.066666666666
314,473.2,456.833333333333,576.033333333333,423.333333333333,481.066666666666
