3 5 5 V,3 20 5 V,3 5 20 V,3 20 20 V,5 5 5 V,5 20 5 V,5 5 20 V,5 20 20 V,7 5 5 V,7 20 5 V,7 5 20 V,7 20 20 V,3 5 5 S,3 20 5 S,3 5 20 S,3 20 20 S,5 5 5 S,5 20 5 S,5 5 20 S,5 20 20 S,7 5 5 S,7 20 5 S,7 5 20 S,7 20 20 S
52848.5762228237,52693.2648291353,52958.9750092767,53043.7585005628,52831.9942907975,52557.1854852304,51733.299352874,52800.969845805,52672.963363821,53122.4837464893,52525.1208172891,53505.1632896353,52639.0453753963,52793.043290769,52796.8823473489,53059.2192581705,52985.8682385744,52398.0745798618,52374.0922344626,52743.3175242359,53088.9040998734,53129.5388001053,53188.8794711527,52616.6734348995
53198.9610552651,52411.1700862614,53271.9628596619,52981.2841762224,52638.1547841679,52911.3819601295,52302.1663127263,53208.1785557823,52282.6261435734,52768.8679869124,52048.8429323109,53249.418486528,53015.5141919324,52927.5770513284,52629.2828053235,53070.5308442876,52957.6309101459,52913.4874675604,52873.7018080752,53181.9346329289,52779.3391758294,52753.4941266712,53183.5971470194,52516.8437935695
53300.7453878115,52622.5631326832,53006.0170954756,52606.693835499,52572.6726442224,52817.5613699882,53067.5717038154,52871.9490549665,52208.5430595466,52525.4145543766,52479.5465683887,53168.5360430327,52762.1770147972,52822.101310332,52652.4766535617,53311.3639815529,52909.2132211614,52644.9794372827,52634.5252509546,53080.0509872175,53197.7079970903,53253.8672185316,52893.3434697384,53225.8573525152
53379.9254521989,52503.8805148504,52716.2088052794,53088.0413754949,52461.2247127487,52919.7848959777,53016.4841103056,53296.1316629427,52269.9058904859,52056.0135093441,52221.8128096161,52532.7260996918,52679.799463416,52766.8573660265,52648.7427482312,52417.2023777124,53005.3240140171,52861.5313908675,52967.827874378,53069.7461009983,53296.1600716744,53069.2813185679,53150.5882331224,52638.9695769922
53114.0410653813,53183.1101393552,52973.9125583996,53063.786440378,53180.8273953141,53465.5230248859,52401.0918385496,53000.3635973587,52497.361373387,52603.3276840175,52663.3988475699,53351.2372087935,52899.7619896806,52319.9322050036,52734.2819905984,52517.1729159758,53350.4505217232,52834.6758172105,52325.6523665313,52959.3743045049,52532.6055051939,53001.973972845,52780.3018983039,53626.9436460425
52763.6829057995,52826.2501939514,52560.2121823225,53273.4709184721,51923.7025744517,52738.6108594632,52785.3773889888,53460.5563385075,52236.9593916648,52141.7530163044,52442.3262049358,52360.6488791568,52477.6616312244,51932.2014364124,52685.589918954,52573.9221673075,52843.1334330696,53132.9403095035,53033.2204301824,52895.8060204822,52940.3093878038,52843.0097630053,52815.4072560009,53288.3575103324
53431.0528221965,53229.7063692738,52964.1920576359,52866.1714659811,52609.6650203612,52599.7864308527,52562.4620448528,53211.7643895364,52321.8823788579,52223.4846170147,52851.3970754297,53264.5695618298,53136.6339844006,52670.2585942612,52552.7624422251,53178.5196437992,52854.2578875004,52887.2738034539,52908.7693644978,53184.0700462548,53125.7061445234,52928.0884530135,52748.6123887636,52834.6999304184
53304.4619506846,52693.4914489138,52404.3364139397,52785.2664709316,52658.0563044539,52255.356625834,51852.3121087122,53372.3391465613,53114.1270592894,52575.1816458109,52293.9234741884,52671.2946724032,52989.771724116,52391.2089671075,52861.7594383029,52943.6625350346,52940.0330915433,52138.2913298857,52855.1916190989,52894.5164371143,53007.7280899532,53289.4193293133,52894.2231867909,53161.9162776098
53039.1365350175,52813.2872839756,53124.7249788773,53216.088083475,53250.0668846583,52898.3818705126,52011.8198513425,52630.3365849329,52607.4292100225,52791.920382452,51875.3179682033,53070.0027189448,52967.4404964665,52516.3685605731,52627.5320115918,52935.6724046576,53103.7482934874,52857.0012148697,52788.6956309564,52818.0122244146,53120.9706940006,53264.149645066,53023.6985816171,53188.9781244775
52402.6148181392,52532.6607829599,53117.6507214618,52782.0147085477,52542.5217620592,52302.9467829113,51614.8062480294,52213.6009254646,53023.0259090808,52107.7898094732,52894.7485416008,53349.77377822,53155.9589714805,52621.7586077699,53212.0482104264,52298.2827148212,53002.2407761123,52976.8856074143,52933.8410014325,53475.098208017,53246.3166954243,53181.463630346,52625.8584595982,53238.1779641792
53628.213119155,52557.4875927725,53251.0185354442,52657.1205074204,52593.1686797782,52428.577147821,52832.7900445685,53011.9319628266,52313.1882275296,52624.9144733312,52845.1317844881,53963.0073599337,52675.3994029392,52507.2775997452,53225.5134446024,52778.1412121788,52915.9032296063,52900.4224477867,53082.1781365107,52731.3569958202,53045.3623374583,52552.6078603462,52867.5419339634,53293.1346124439
53085.178796143,53331.9897276058,52800.9791195245,53224.4352867495,52367.8186763699,52213.1400510897,52472.5729613152,52891.7042416107,52875.8930421619,51857.6767349792,53130.325041718,51607.7731087499,52939.8467214542,53046.6763887677,52474.62260542,52460.7253452044,52737.2242867972,52751.8886956026,52829.0079726151,52955.6175148478,52926.0061465424,52920.7463176826,53116.0155360091,52637.7780696908
53418.0971328306,52909.0586188421,53541.5401059217,52651.3617818267,51691.8398975036,52676.6536381198,52282.4482742219,53228.5086084904,52834.9134689783,53147.4251748656,51857.367413391,52659.4250956788,52639.2979621046,52998.3300286311,52767.8718038458,53139.8935153178,52688.262668572,53063.1686835955,53070.1909627063,52504.8167074233,52961.6775696335,52980.6727409979,52566.4242644849,52701.2573218803
53258.2701011564,52713.0859105111,52617.251178885,52873.3996114926,52692.1249950983,53095.4141107268,52819.2656672365,53677.5824245253,52740.5485544005,53252.2098693699,52084.9106386496,52259.5587747737,52928.2099043444,52648.9684298838,52511.4377717031,52978.9846829099,52938.473450084,53014.7205034789,52807.2898566297,53229.6810413919,52901.2508755865,53065.6074754484,52927.3858287292,53166.993259327
52845.9770582848,52893.0751340393,53190.5537675288,52287.3590862072,51865.1216352561,52698.4622529768,52715.0773288861,52768.2644159694,52728.578084117,52686.4629302695,52750.4123416782,52782.714321471,53288.8174379692,53168.4528522626,52623.977697428,52822.1176806798,52920.8061241895,52846.9274799014,52680.2984995499,52825.9609075213,53116.9366520386,53076.8622255397,52636.595089285,53440.4846060775
53710.1864628227,52722.0429321167,52680.3624142758,52966.0104988204,51933.0853451566,53064.8878873665,52608.2733001236,53105.216494737,52250.2062347307,53149.6192426363,53080.3681540041,52442.9401461553,52989.5614621019,52576.8207521577,52434.1480794474,52541.0392972757,53089.5314835221,52842.4369357428,52718.2343226194,53051.8559670842,53580.6742265594,53031.5726235035,52974.1224226334,52572.5700255301
53210.8581989026,52666.4834026797,53354.1225503653,52948.1205991065,52305.2473978468,52259.2369946626,52848.2294997214,53138.9222198573,52567.3334280739,52874.1772058721,52668.3463021759,52801.9612934942,53310.1822923739,52924.6147521808,52576.2179531405,53239.6720844858,52798.529184659,52835.0996165576,52675.7206859673,53014.2056628013,53150.3652003275,52992.8873904529,53233.9679378929,53171.1624886695
53243.0421162548,53294.5712504588,52720.1094040171,52833.3565360111,52033.1400843686,52656.1436617694,52757.0301326986,52372.9187741499,52508.5429218383,52670.4456897191,52500.3429033573,52848.2541198225,52989.7946271921,52929.3055438413,52721.5653378104,52832.8014752877,53192.3955764944,52652.4289995055,52685.2264249991,53026.7538198277,53180.0364220387,52769.3156280268,53055.7092275696,52923.4835713104
