Column_1,SEC,Column_3,Column_4,Column_5,Column_6,Column_7,GA,Column_9,Column_10,Column_11,Column_12,Column_13,MGA,Column_15,Column_16,Column_17,Column_18,Column_19
Time(min),3  Sum SEC,3  Vote SEC,5  Sum SEC,5  Vote SEC,7  Sum SEC,7  Vote SEC,3  Sum GA,3  Vote GA,5  Sum GA,5  Vote GA,7  Sum GA,7  Vote GA,3  Sum MGA,3  Vote  MGA,5  Sum MGA,5  Vote MGA,7  Sum MGA,7  Vote MGA
40,53564.5561644327,53830.6186415478,53453.8249554076,53177.7737763605,53483.603885708,52963.8130102345,53260.4713729718,53830.6186415478,53328.2166210242,52884.3793359737,53235.4798701267,52775.977084509,53034.8004186019,53352.2203858273,53115.3201964039,52771.6413123723,53229.5356966166,52799.3942845978
41,53531.6458407912,53830.6186415478,53453.8249554076,53177.7737763605,53483.603885708,52963.8130102345,53260.4713729718,53830.6186415478,53328.2166210242,52884.3793359737,53230.6942276652,52772.3602201416,53046.2379742519,53348.3936095409,53114.2144424614,52705.5701388239,53217.0016480444,52818.0515793048
42,53517.6293524622,53830.6186415478,53466.1738047823,53189.4021272923,53474.0385059844,53003.5611868655,53260.4713729718,53830.6186415478,53328.2166210242,52884.3793359737,53230.6942276652,52777.3093960343,53039.5818301814,53326.4901050131,53110.8418386847,52706.7147002777,53189.6680156465,52818.0515793048
43,53507.4609981122,53830.6186415478,53456.3326600559,53163.6312920117,53474.0385059844,53003.5611868655,53260.4713729718,53830.6186415478,53328.2166210242,52884.3793359737,53230.6717248929,52780.7207799377,53045.6193565479,53324.8450402557,53110.4244703448,52686.4918535565,53156.3487996001,52785.1125640507
44,53507.4609981122,53830.6186415478,53456.3326600559,53191.3749601686,53474.0385059844,53003.5611868655,53260.4713729718,53830.6186415478,53328.2166210242,52870.7304974667,53226.4723812333,52779.3288787387,53044.6665780643,53334.8360325628,53104.4094028367,52717.3763529551,53157.1337344669,52790.951201008
45,53507.4609981122,53830.6186415478,53456.3326600559,53168.6648020944,53474.0385059844,53003.5611868655,53260.4713729718,53830.6186415478,53328.2166210242,52870.7304974667,53222.2730375737,52789.5682739138,53036.2481710261,53341.3894145768,53103.1000773492,52711.9898544625,53179.780998374,52790.8514083023
46,53464.3823201207,53830.6186415478,53456.3326600559,53168.6648020944,53474.0385059844,53022.5058625656,53260.4713729718,53830.6186415478,53328.2166210242,52881.7186142721,53222.2505348014,52781.9180962811,53033.4711329938,53332.6079069655,53079.7952452376,52717.1426170241,53171.7758117019,52767.6270497275
47,53464.3823201207,53830.6186415478,53456.3326600559,53168.6648020944,53474.0385059844,52998.250850711,53260.4713729718,53830.6186415478,53328.2166210242,52881.7186142721,53222.2505348014,52737.5808179559,53026.3881247283,53325.3319383177,53048.7048404853,52709.0892663262,53163.0155568415,52759.6704070399
48,53460.039229662,53830.6186415478,53456.3326600559,53168.6648020944,53459.2773401728,52998.250850711,53260.4713729718,53830.6186415478,53328.2166210242,52881.7186142721,53217.1017716002,52716.8460317995,53025.3685492002,53323.6706702424,53041.5897304608,52682.6322531225,53164.7209629235,52746.4627770713
49,53460.039229662,53830.6186415478,53445.7003919228,53168.6648020944,53459.2773401728,52970.8545736866,53260.4713729718,53830.6186415478,53328.2166210242,52887.9464643947,53217.1017716002,52712.9803873935,53025.7369122436,53329.4882843797,53029.6460335128,52668.5259838065,53171.6161871446,52745.3292558559
50,53460.039229662,53830.6186415478,53445.7003919228,53168.6648020944,53460.2414799464,52930.3051624902,53260.4713729718,53830.6186415478,53322.1826942053,52887.9464643947,53217.1017716002,52712.9803873935,53033.0227546254,53328.4754623322,53028.3316291784,52673.2629658781,53174.4018092637,52739.957975659
51,53460.039229662,53830.6186415478,53445.7003919228,53168.6648020944,53460.2414799464,52930.3051624902,53260.4713729718,53830.6186415478,53322.1826942053,52887.9464643947,53217.1017716002,52712.9803873935,53024.9802413463,53296.2027422503,53025.7709358758,52671.6175561177,53171.848703097,52742.7761206994
52,53460.039229662,53830.6186415478,53445.7003919228,53168.6648020944,53460.2414799464,52971.5257592825,53260.4713729718,53830.6186415478,53322.1826942053,52888.1355889109,53217.1017716002,52712.9803873935,53019.767897094,53288.6268298667,53004.748038828,52687.5419660078,53167.2692150877,52740.7268497969
53,53446.0227413329,53830.6186415478,53445.7003919228,53168.6648020944,53460.2414799464,52971.5257592825,53258.5669560047,53830.6186415478,53322.1826942053,52892.9444446471,53214.6711069928,52705.9905457064,53032.4881449918,53287.8467818637,53004.6180556634,52684.9758965999,53163.281097707,52726.622471333
