Method,Statistic,Df,p.value,,,,,,,,,,,,,,,
GA  5  Vote,52867.9973284502,52584.8470561785,53017.0677520017,,,,,,,,,,,,,,,
GA  7  Sum,53229.3350871946,53139.038045445,53246.7855324722,,,,,,,,,,,,,,,
GA  7  Vote,52594.0049709972,52456.6904958862,52795.67629577945,,,,,,,,,,,,,,,
MGA  3  Sum ,52930.42092497015,52835.56830673555,52989.67775742417,,,,,,,,,,,,,,,
MGA  3  Vote,53204.90962708385,52991.8506524602,53266.6229198518,,,,,,,,,,,,,,,
MGA  5  Sum ,52929.63978713675,52851.5778378809,53003.7823950647,,,,,,,,,,,,,,,
MGA  5  Vote ,52582.9206620003,52417.8748602422,52649.1001236966,,,,,,,,,,,,,,,
MGA  7  Sum,53102.4362839727,52950.99347871865,53125.17187443075,,,,,,,,,,,,,,,
MGA  7  Vote ,52627.974524084304,52448.7043931398,52734.56331925875,,,,,,,,,,,,,,,
SEC  3  Sum,53246.4548846428,53246.4548846428,53361.8989040149,,,,,,,,,,,,,,,
SEC  3  Vote,53830.6186415478,53830.6186415478,53830.6186415478,,,,,,,,,,,,,,,
SEC  5  Sum,53367.9489790823,53327.39329934475,53652.49371722235,,,,,,,,,,,,,,,
SEC  5  Vote,53139.10907870315,52935.205947628056,53830.6186415478,,,,,,,,,,,,,,,
SEC  7  Sum,53428.51279407604,53325.964809257246,53523.969413795945,,,,,,,,,,,,,,,
SEC  7  Vote,53138.09843935745,52845.150051648,53457.7699918668,,,,,,,,,,,,,,,
