Ablation study,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24
Number of Vehicles,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Training,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
A Shapiro test is performed to check whether the samples follow a normal distribution.,,,,,,,,,,,,,,,,,,,,,,,
,Method,Shapiro p-value,,,,,,,,,,,,,,,,,,,,,
7 20 20 S,1,0.000009112450850150343,0.0007405801379464014,0.00035522158810678806,0.000005844159004905454,0.000004385204177933923,1.6922588529656114e-10,1,1.94677198942187e-10,0.001893725740898318,6.862612169048922e-13,1,0.8321082922064328,6.591221366630146e-13,2.1575305613322876e-13,1.0938171215666318e-10,0.05109120809421453,0.000011858020874904079,5.4074960325767934e-11,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,
Cliff's Delta: Pairwise effect sizes quantifying the magnitude of significant differences.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,3 5 5 V,3 20 5 V,3 5 20 V,3 20 20 V,5 5 5 V,5 20 5 V,5 5 20 V,5 20 20 V,7 5 5 V,7 20 5 V,7 5 20 V,7 20 20 V,3 5 5 S,3 20 5 S,3 5 20 S,3 20 20 S,5 5 5 S,5 20 5 S,5 5 20 S,5 20 20 S,7 5 5 S,7 20 5 S,7 5 20 S
3 20 5 V,0.699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 5 20 V,0.644,-0.152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 20 20 V,0.628,-0.111,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5 5 5 V,0.72,0.011,0.147,0.126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5 20 5 V,0.75,0.017,0.197,0.137,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5 5 20 V,0.826,0.281,0.414,0.387,0.267,0.317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5 20 20 V,-0.448,-0.856,-0.817,-0.818,-0.867,-0.882,-0.926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7 5 5 V,0.838,0.277,0.422,0.387,0.262,0.311,-0.022,0.933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7 20 5 V,0.568,-0.154,-0.021,-0.047,-0.17,-0.174,-0.46,0.786,-0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7 5 20 V,0.893,0.401,0.573,0.509,0.384,0.463,0.089,0.964,0.113,0.567,0,0,0,0,0,0,0,0,0,0,0,0,0
7 20 20 V,-0.737,-0.976,-0.971,-0.96,-0.982,-0.993,-0.988,-0.263,-0.993,-0.937,-1,0,0,0,0,0,0,0,0,0,0,0,0
3 5 5 S,0.426,-0.419,-0.327,-0.308,-0.432,-0.486,-0.647,0.704,-0.656,-0.254,-0.759,0.913,0,0,0,0,0,0,0,0,0,0,0
3 20 5 S,0.879,0.389,0.53,0.493,0.379,0.443,0.159,0.949,0.173,0.581,0.061,0.996,0.736,0,0,0,0,0,0,0,0,0,0
3 5 20 S,0.908,0.433,0.589,0.54,0.411,0.501,0.091,0.976,0.126,0.604,0.013,1,0.784,-0.087,0,0,0,0,0,0,0,0,0
3 20 20 S,0.859,0.304,0.47,0.411,0.286,0.336,-0.061,0.949,-0.031,0.451,-0.158,1,0.693,-0.214,-0.199,0,0,0,0,0,0,0,0
5 5 5 S,0.576,-0.309,-0.199,-0.183,-0.313,-0.382,-0.564,0.786,-0.574,-0.132,-0.703,0.963,0.17,-0.668,-0.727,-0.624,0,0,0,0,0,0,0
5 20 5 S,0.751,-0.017,0.191,0.109,-0.017,-0.033,-0.376,0.882,-0.372,0.141,-0.54,0.998,0.486,-0.502,-0.586,-0.406,0.387,0,0,0,0,0,0
5 5 20 S,0.868,0.324,0.494,0.433,0.301,0.366,-0.068,0.958,-0.031,0.468,-0.15,1,0.709,-0.222,-0.202,0.01,0.643,0.447,0,0,0,0,0
5 20 20 S,0.396,-0.501,-0.389,-0.39,-0.511,-0.581,-0.722,0.687,-0.741,-0.337,-0.862,0.914,-0.056,-0.804,-0.889,-0.8,-0.23,-0.591,-0.827,0,0,0,0
7 5 5 S,0.348,-0.47,-0.364,-0.37,-0.481,-0.53,-0.671,0.658,-0.686,-0.309,-0.794,0.888,-0.07,-0.757,-0.812,-0.726,-0.228,-0.532,-0.746,-0.021,0,0,0
7 20 5 S,0.326,-0.61,-0.526,-0.5,-0.619,-0.708,-0.773,0.646,-0.802,-0.434,-0.913,0.9,-0.173,-0.844,-0.923,-0.872,-0.37,-0.734,-0.893,-0.138,-0.092,0,0
7 5 20 S,0.5,-0.451,-0.326,-0.326,-0.453,-0.544,-0.707,0.743,-0.726,-0.283,-0.866,0.952,0.052,-0.792,-0.9,-0.802,-0.127,-0.56,-0.834,0.114,0.121,0.279,0
7 20 20 S,-0.258,-0.826,-0.799,-0.773,-0.84,-0.872,-0.901,0.264,-0.912,-0.724,-0.948,0.58,-0.624,-0.936,-0.954,-0.932,-0.747,-0.88,-0.936,-0.612,-0.567,-0.56,-0.7
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"This measure quantifies the magnitude of the differences between pairs of groups, independently of statistical significance. Effect sizes were interpreted according to the categories presented in",,,,,,,,,,,,,,,,,,,,,,,
Effect Size Magnitude,Negligible,Small,Medium,Large,,,,,,,,,,,,,,,,,,,
Absolute Cliff's Delta (|δ|),< 0.147,0.147-0.330,0.330-0.474,≥ 0.474,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Cliff's Delta Magnitude,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
