Ablation study,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24
Energy Consumption,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Training,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
A Shapiro test is performed to check whether the samples follow a normal distribution.,,,,,,,,,,,,,,,,,,,,,,,
,Method,Shapiro p-value,,,,,,,,,,,,,,,,,,,,,
3 20 20 S,0.562,-0.033,0.216,0.158,-0.482,-0.18,-0.458,0.349,-0.416,-0.233,-0.427,0.107,0.198,-0.26,-0.287,0,0,0,0,0,0,0,0
5 5 5 S,0.442,-0.298,0.027,-0.093,-0.729,-0.411,-0.676,0.222,-0.678,-0.453,-0.671,-0.022,-0.078,-0.544,-0.649,-0.273,0,0,0,0,0,0,0
5 20 5 S,0.56,-0.082,0.202,0.107,-0.587,-0.216,-0.513,0.336,-0.484,-0.3,-0.482,0.076,0.191,-0.302,-0.384,-0.053,0.26,0,0,0,0,0,0
5 5 20 S,0.669,0.036,0.333,0.249,-0.484,-0.111,-0.38,0.436,-0.38,-0.2,-0.362,0.162,0.353,-0.18,-0.269,0.127,0.451,0.173,0,0,0,0,0
5 20 20 S,0.373,-0.262,0.011,-0.096,-0.651,-0.376,-0.649,0.167,-0.622,-0.416,-0.609,-0.044,-0.082,-0.487,-0.536,-0.267,-0.042,-0.238,-0.402,0,0,0,0
7 5 5 S,0.229,-0.398,-0.178,-0.309,-0.729,-0.516,-0.771,0.018,-0.751,-0.516,-0.751,-0.151,-0.362,-0.638,-0.662,-0.462,-0.342,-0.487,-0.633,-0.24,0,0,0
7 20 5 S,0.284,-0.36,-0.127,-0.231,-0.709,-0.467,-0.724,0.08,-0.7,-0.484,-0.693,-0.096,-0.264,-0.593,-0.633,-0.398,-0.218,-0.42,-0.556,-0.171,0.076,0,0
7 5 20 S,0.447,-0.222,0.016,-0.067,-0.636,-0.336,-0.631,0.204,-0.611,-0.4,-0.598,0.002,-0.058,-0.46,-0.502,-0.242,-0.009,-0.211,-0.38,0.022,0.251,0.198,0
7 20 20 S,0.302,-0.236,-0.064,-0.129,-0.607,-0.349,-0.604,0.107,-0.578,-0.402,-0.576,-0.071,-0.147,-0.453,-0.442,-0.287,-0.111,-0.256,-0.358,-0.076,0.084,0.02,-0.118
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"This measure quantifies the magnitude of the differences between pairs of groups, independently of statistical significance. Effect sizes were interpreted according to the categories presented in",,,,,,,,,,,,,,,,,,,,,,,
Effect Size Magnitude,Negligible,Small,Medium,Large,,,,,,,,,,,,,,,,,,,
Absolute Cliff's Delta (|δ|),< 0.147,0.147-0.330,0.330-0.474,≥ 0.474,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Cliff's Delta Magnitude,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,3 5 5 V,3 20 5 V,3 5 20 V,3 20 20 V,5 5 5 V,5 20 5 V,5 5 20 V,5 20 20 V,7 5 5 V,7 20 5 V,7 5 20 V,7 20 20 V,3 5 5 S,3 20 5 S,3 5 20 S,3 20 20 S,5 5 5 S,5 20 5 S,5 5 20 S,5 20 20 S,7 5 5 S,7 20 5 S,7 5 20 S
3 20 5 V,large,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84
3 5 20 V,medium,small,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84
3 20 20 V,medium,negligible,negligible,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84
5 5 5 V,large,large,large,large,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84
5 20 5 V,large,negligible,small,small,medium,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84
5 5 20 V,large,medium,large,large,negligible,small,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84
5 20 20 V,negligible,medium,small,small,large,medium,large,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84
7 5 5 V,large,medium,large,large,small,small,negligible,large,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84
